 Si Density=2.33
 Energy(eV), Delta, Beta
  50.  0.0437049046  0.0062628882
  52.451973  0.0387453698  0.0057234792
  55.024189  0.0342087969  0.00530871423
  57.722538  0.0300949719  0.00493940944
  60.5532227  0.0262715109  0.00467565842
  63.5227127  0.0229192451  0.0045516747
  66.6378326  0.0200154409  0.00434239535
  69.9057159  0.0173521526  0.00402102945
  73.3338547  0.01482007  0.00343992701
  76.9301071  0.0122216213  0.00275331084
  80.702713  0.00928259827  0.00223137275
  84.6603241  0.00636660215  0.00197120942
  88.8120193  0.00335569982  0.00187905843
  93.1673126 -0.000138136689  0.00181616168
  97.7361832 -0.00590672065  0.00179158896
  102.529106 -0.00493545644  0.0126929339
  107.557083 -0.00658539077  0.013773134
  112.831619 -0.00525753247  0.0160317793
  118.364807 -0.00327692786  0.0192925222
  124.169365  0.000244871975  0.0194932614
  130.258545  0.00241536251  0.0192449205
  136.646347  0.00531045813  0.0168925598
  143.347412  0.00508426782  0.015463477
  150.37709  0.00561794825  0.0148216207
  157.751495  0.00606049411  0.0136119463
  165.487534  0.00692374213  0.0135394195
  173.602951  0.00861735083  0.0118552595
  182.116348  0.00807106681  0.00980486907
  191.047226  0.0077602705  0.00868557207
  200.416061  0.00745792547  0.00767290127
  210.24437  0.00712852599  0.00681142882
  220.554642  0.00684166653  0.00605159439
  231.370499  0.00653837482  0.0052949884
  242.716797  0.00618689042  0.00462534465
  254.619476  0.00583443465  0.00402481295
  267.105865  0.00546170352  0.00348851085
  280.20459  0.00509011792  0.00302367052
  293.945648  0.00473101996  0.00262077153
  308.360565  0.00438849488  0.00226401119
  323.482422  0.00405674148  0.00195311464
  339.345825  0.00374267972  0.0016849126
  355.987122  0.00344965258  0.00145353714
  373.444519  0.0031823765  0.00124599785
  391.758026  0.00292217988  0.00105909514
  410.969635  0.0026756546  0.000900223036
  431.123352  0.00244572153  0.000765184581
  452.265411  0.00223308336  0.000650402741
  474.444244  0.00203780574  0.000551207631
  497.710693  0.00185629656  0.000465962366
  522.118164  0.00168910041  0.000393899682
  547.722534  0.00153583509  0.000332981464
  574.58252  0.00139595266  0.000281484303
  602.759766  0.00126856274  0.000236831125
  632.318726  0.00115124066  0.000198754642
  663.327271  0.0010439239  0.000166799975
  695.856445  0.00094578875  0.000140053031
  729.980835  0.000856741623  0.000118403885
  765.778748  0.000776410627  0.000100165482
  803.332031  0.000703920203  8.46049734E-05
  842.72699  0.000637889607  7.09250671E-05
  884.053894  0.000577809638  5.94571502E-05
  927.407349  0.000523352239  4.95031163E-05
  972.886841  0.000473507273  4.10335015E-05
  1020.59668  0.00042811333  3.4007302E-05
  1070.64624  0.000386792177  2.81794801E-05
  1123.15002  0.000349164329  2.35290372E-05
  1178.22864  0.000315186509  1.97567297E-05
  1236.0083  0.000284374109  1.65842121E-05
  1296.62146  0.000256358268  1.39183212E-05
  1360.20703  0.00023081417  1.16712499E-05
  1426.91089  0.000207433957  9.78351454E-06
  1496.88574  0.000185903802  8.19682282E-06
  1570.29224  0.000165828969  6.83882445E-06
  1647.29846  0.000146613806  5.70451175E-06
  1728.08093  0.000126926752  4.75831757E-06
  1812.82495  9.8701792E-05  3.95070447E-06
  1901.72498  0.000102111517  3.77887336E-05
  1994.98438  0.000103500919  3.21207626E-05
  2092.81738  9.91938068E-05  2.72722045E-05
  2195.448  9.32826078E-05  2.30835885E-05
  2303.11157  8.68469142E-05  1.95051507E-05
  2416.05469  8.03569201E-05  1.64551711E-05
  2534.53662  7.40350806E-05  1.38621481E-05
  2658.82886  6.79996738E-05  1.16626179E-05
  2789.21631  6.23093729E-05  9.79987362E-06
  2925.99805  5.69899785E-05  8.22564289E-06
  3069.4873  5.20486756E-05  6.89703802E-06
  3220.01294  4.74794324E-05  5.77756555E-06
  3377.9209  4.32702363E-05  4.83546E-06
  3543.57227  3.94030612E-05  4.04371394E-06
  3717.34692  3.58586331E-05  3.37899974E-06
  3899.64331  3.2615666E-05  2.8215311E-06
  4090.87988  2.96530543E-05  2.35445123E-06
  4291.49414  2.69499924E-05  1.96346264E-06
  4501.94678  2.44863022E-05  1.63643915E-06
  4722.71973  2.22425442E-05  1.36310052E-06
  4954.31885  2.02006504E-05  1.13487954E-06
  5197.27588  1.83434277E-05  9.44362512E-07
  5452.14746  1.66550144E-05  7.85509656E-07
  5719.51758  1.51206486E-05  6.53058635E-07
  5999.99902  1.37267762E-05  5.42731129E-07
