Energy[eV];Delta;Beta
29,99855;0,22817;0,46216
30,01333;0,22823;0,46185
30,02813;0,22829;0,46154
30,04294;0,22835;0,46123
30,05776;0,22841;0,46092
30,0726;0,22847;0,46061
30,08746;0,22853;0,46031
30,10233;0,22859;0,46
30,11721;0,22865;0,45969
30,13211;0,22871;0,45938
30,14702;0,22877;0,45907
30,16195;0,22883;0,45877
30,17689;0,2289;0,45846
30,19185;0,22896;0,45815
30,20682;0,22902;0,45784
30,22181;0,22908;0,45753
30,23681;0,22914;0,45722
30,25183;0,2292;0,45692
30,26686;0,22929;0,45661
30,28191;0,2294;0,4563
30,29697;0,2295;0,456
30,31205;0,2296;0,45569
30,32714;0,22971;0,45538
30,34225;0,22981;0,45508
30,35737;0,22991;0,45477
30,37251;0,23002;0,45446
30,38766;0,23012;0,45416
30,40283;0,23023;0,45385
30,41801;0,23033;0,45354
30,43321;0,23043;0,45324
30,44842;0,23054;0,45293
30,46365;0,23064;0,45262
30,4789;0,23074;0,45232
30,49415;0,23085;0,45201
30,50943;0,23095;0,4517
30,52472;0,23105;0,4514
30,54002;0,23116;0,45109
30,55534;0,23126;0,45078
30,57068;0,23136;0,45048
30,58603;0,23147;0,45017
30,6014;0,23157;0,44986
30,61678;0,23168;0,44956
30,63218;0,23178;0,44925
30,64759;0,23188;0,44894
30,66302;0,23199;0,44864
30,67846;0,23209;0,44833
30,69392;0,23219;0,44802
30,70939;0,2323;0,44772
30,72489;0,2324;0,44741
30,74039;0,2325;0,4471
30,75591;0,23266;0,4468
30,77145;0,23283;0,44649
30,787;0,233;0,44619
30,80257;0,23317;0,44588
30,81816;0,23335;0,44558
30,83376;0,23352;0,44527
30,84937;0,23369;0,44497
30,86501;0,23386;0,44466
30,88065;0,23403;0,44436
30,89632;0,23421;0,44405
30,912;0,23438;0,44375
30,92769;0,23455;0,44344
30,94341;0,23472;0,44314
30,95913;0,23489;0,44283
30,97488;0,23507;0,44253
30,99064;0,23524;0,44222
31,00641;0,23541;0,44192
31,0222;0,23558;0,44161
31,03801;0,23576;0,44131
31,05384;0,23593;0,441
31,06968;0,2361;0,4407
31,08553;0,23627;0,44039
31,1014;0,23644;0,44009
31,11729;0,23662;0,43978
31,1332;0,23679;0,43948
31,14912;0,23696;0,43917
31,16506;0,23713;0,43887
31,18101;0,2373;0,43856
31,19698;0,23748;0,43826
31,21297;0,23765;0,43795
31,22897;0,23782;0,43765
31,24499;0,23802;0,43733
31,26103;0,23835;0,43697
31,27708;0,23868;0,43661
31,29315;0,23901;0,43625
31,30923;0,23933;0,43588
31,32533;0,23966;0,43552
31,34145;0,23999;0,43516
31,35759;0,24032;0,43479
31,37374;0,24064;0,43443
31,38991;0,24097;0,43407
31,40609;0,2413;0,4337
31,42229;0,24163;0,43334
31,43851;0,24196;0,43298
31,45475;0,24228;0,43262
31,471;0,24261;0,43225
31,48727;0,24294;0,43189
31,50355;0,24327;0,43153
31,51986;0,24359;0,43116
31,53617;0,24392;0,4308
31,55251;0,24425;0,43044
31,56886;0,24458;0,43008
31,58523;0,24491;0,42971
31,60162;0,24523;0,42935
31,61802;0,24556;0,42899
31,63445;0,24589;0,42862
31,65088;0,24622;0,42826
31,66734;0,24654;0,4279
31,68381;0,24687;0,42754
31,7003;0,2472;0,42717
31,71681;0,24753;0,42681
31,73333;0,24786;0,42645
31,74987;0,24817;0,42604
31,76643;0,24843;0,42535
31,78301;0,24869;0,42467
31,7996;0,24895;0,42398
31,81621;0,24921;0,4233
31,83284;0,24946;0,42261
31,84948;0,24972;0,42193
31,86614;0,24998;0,42124
31,88282;0,25024;0,42056
31,89952;0,2505;0,41988
31,91624;0,25075;0,41919
31,93297;0,25101;0,41851
31,94972;0,25127;0,41782
31,96649;0,25153;0,41714
31,98327;0,25179;0,41645
32,00007;0,25205;0,41577
32,01689;0,2523;0,41508
32,03373;0,25256;0,4144
32,05059;0,25282;0,41372
32,06746;0,25308;0,41303
32,08435;0,25334;0,41235
32,10126;0,25359;0,41166
32,11819;0,25385;0,41098
32,13513;0,25411;0,41029
32,1521;0,25437;0,40961
32,16908;0,25463;0,40892
32,18608;0,25489;0,40824
32,20309;0,25514;0,40755
32,22013;0,2554;0,40687
32,23718;0,25566;0,40619
32,25425;0,25592;0,4055
32,27134;0,2561;0,40483
32,28845;0,25623;0,40417
32,30557;0,25636;0,40351
32,32271;0,25649;0,40285
32,33988;0,25663;0,40219
32,35706;0,25676;0,40152
32,37425;0,25689;0,40086
32,39147;0,25702;0,4002
32,4087;0,25715;0,39954
32,42596;0,25728;0,39888
32,44323;0,25741;0,39822
32,46052;0,25755;0,39756
32,47783;0,25768;0,39689
32,49515;0,25781;0,39623
32,5125;0,25794;0,39557
32,52986;0,25807;0,39491
32,54724;0,2582;0,39425
32,56464;0,25833;0,39359
32,58206;0,25847;0,39293
32,5995;0,2586;0,39226
32,61696;0,25873;0,3916
32,63443;0,25886;0,39094
32,65193;0,25899;0,39028
32,66944;0,25912;0,38962
32,68697;0,25926;0,38896
32,70452;0,25939;0,3883
32,72209;0,25952;0,38763
32,73968;0,25965;0,38697
32,75729;0,25978;0,38631
32,77491;0,25991;0,38565
32,79256;0,26004;0,38495
32,81022;0,26017;0,38422
32,82791;0,26029;0,3835
32,84561;0,26041;0,38277
32,86333;0,26054;0,38204
32,88107;0,26066;0,38131
32,89883;0,26079;0,38058
32,91661;0,26091;0,37986
32,93441;0,26104;0,37913
32,95222;0,26116;0,3784
32,97006;0,26129;0,37767
32,98792;0,26141;0,37695
33,00579;0,26154;0,37622
33,02369;0,26166;0,37549
33,0416;0,26179;0,37476
33,05953;0,26191;0,37403
33,07749;0,26204;0,37331
33,09546;0,26216;0,37258
33,11345;0,26228;0,37185
33,13146;0,26241;0,37112
33,14949;0,26253;0,3704
33,16754;0,26266;0,36967
33,18561;0,26278;0,36894
33,2037;0,26291;0,36821
33,22181;0,26303;0,36748
33,23994;0,26316;0,36676
33,25809;0,26328;0,36603
33,27626;0,26341;0,3653
33,29445;0,26353;0,36457
33,31266;0,26366;0,36385
33,33089;0,26361;0,36307
33,34914;0,26355;0,36229
33,36741;0,2635;0,36151
33,3857;0,26345;0,36073
33,40401;0,2634;0,35995
33,42233;0,26335;0,35917
33,44068;0,2633;0,3584
33,45905;0,26324;0,35762
33,47744;0,26319;0,35684
33,49585;0,26314;0,35606
33,51428;0,26309;0,35528
33,53273;0,26304;0,3545
33,5512;0,26299;0,35372
33,5697;0,26293;0,35294
33,58821;0,26288;0,35217
33,60674;0,26283;0,35139
33,62529;0,26278;0,35061
33,64386;0,26273;0,34983
33,66246;0,26268;0,34905
33,68107;0,26262;0,34827
33,69971;0,26257;0,34749
33,71836;0,26252;0,34672
