Energy[eV];Delta;Beta
29,9985482700218;0,12856;0,18818
30,0133298458637;0,12852;0,18802
30,0281259959241;0,12848;0,18786
30,0429367417684;0,12844;0,18771
30,0577621050044;0,1284;0,18755
30,0726021072826;0,12836;0,18739
30,0874567702963;0,12832;0,18723
30,1023261157817;0,12827;0,18707
30,117210165518;0,12823;0,18692
30,1321089413275;0,12819;0,18676
30,1470224650756;0,12815;0,1866
30,1619507586712;0,12811;0,18644
30,1768938440663;0,12807;0,18628
30,1918517432568;0,12803;0,18612
30,2068244782821;0,12798;0,18597
30,2218120712251;0,12794;0,18581
30,2368145442129;0,1279;0,18565
30,2518319194164;0,12786;0,18549
30,2668642190506;0,12782;0,18534
30,2819114653745;0,12778;0,18518
30,2969736806917;0,12773;0,18502
30,31205088735;0,12769;0,18487
30,3271431077417;0,12765;0,18471
30,3422503643038;0,12761;0,18455
30,3573726795179;0,12756;0,1844
30,3725100759107;0,12752;0,18424
30,3876625760536;0,12748;0,18408
30,4028302025631;0,12744;0,18393
30,418012978101;0,12739;0,18377
30,4332109253743;0,12735;0,18362
30,4484240671354;0,12731;0,18346
30,4636524261823;0,12727;0,1833
30,4788960253585;0,12722;0,18315
30,4941548875533;0,12718;0,18299
30,509429035702;0,12714;0,18283
30,5247184927856;0,1271;0,18268
30,5400232818315;0,12706;0,18252
30,555343425913;0,12701;0,18236
30,5706789481499;0,12697;0,18221
30,5860298717085;0,12693;0,18205
30,6013962198015;0,12689;0,1819
30,6167780156883;0,12684;0,18174
30,6321752826752;0,1268;0,18158
30,6475880441153;0,12676;0,18143
30,6630163234087;0,12672;0,18127
30,6784601440027;0,12667;0,18111
30,6939195293919;0,12663;0,18096
30,7093945031183;0,12659;0,1808
30,7248850887712;0,12655;0,18064
30,7403913099877;0,12651;0,18049
30,7559131904527;0,12646;0,18033
30,7714507538988;0,12642;0,18018
30,7870040241066;0,12637;0,18002
30,8025730249049;0,12633;0,17987
30,8181577801706;0,12629;0,17971
30,8337583138291;0,12624;0,17956
30,8493746498542;0,1262;0,17941
30,8650068122683;0,12616;0,17925
30,8806548251424;0,12611;0,1791
30,8963187125965;0,12607;0,17894
30,9119984987994;0,12603;0,17879
30,9276942079693;0,12598;0,17863
30,9434058643732;0,12594;0,17848
30,9591334923277;0,1259;0,17832
30,9748771161989;0,12585;0,17817
30,9906367604023;0,12581;0,17801
31,0064124494031;0,12577;0,17786
31,0222042077166;0,12572;0,1777
31,0380120599079;0,12568;0,17755
31,0538360305922;0,12563;0,1774
31,0696761444348;0,12559;0,17724
31,0855324261517;0,12555;0,17709
31,101404900509;0,1255;0,17693
31,1172935923236;0,12546;0,17678
31,1331985264632;0,12542;0,17662
31,1491197278462;0,12537;0,17647
31,1650572214421;0,12533;0,17631
31,1810110322715;0,12529;0,17616
31,1969811854062;0,12524;0,176
31,2129677059696;0,1252;0,17585
31,2289706191364;0,12516;0,17569
31,2449899501331;0,12511;0,17554
31,2610257242378;0,12507;0,17539
31,2770779667807;0,12502;0,17524
31,293146703144;0,12498;0,17508
31,3092319587622;0,12493;0,17493
31,3253337591218;0,12489;0,17478
31,3414521297621;0,12485;0,17463
31,3575870962748;0,1248;0,17447
31,3737386843044;0,12476;0,17432
31,3899069195483;0,12471;0,17417
31,4060918277568;0,12467;0,17402
31,4222934347333;0,12463;0,17386
31,4385117663347;0,12458;0,17371
31,454746848471;0,12454;0,17356
31,4709987071061;0,12449;0,17341
31,4872673682572;0,12445;0,17325
31,5035528579957;0,1244;0,1731
31,5198552024467;0,12436;0,17295
31,5361744277895;0,12432;0,1728
31,5525105602576;0,12427;0,17264
31,568863626139;0,12423;0,17249
31,5852336517761;0,12418;0,17234
31,6016206635661;0,12414;0,17219
31,6180246879608;0,12409;0,17203
31,6344457514672;0,12405;0,17188
31,6508838806472;0,12401;0,17173
31,667339102118;0,12396;0,17158
31,6838114425523;0,12392;0,17143
31,7003009286781;0,12387;0,17127
31,7168075872792;0,12383;0,17112
31,7333314451953;0,12379;0,17097
31,749872529322;0,12374;0,17082
31,7664308666108;0,1237;0,17067
31,7830064840697;0,12365;0,17052
31,799599408763;0,12361;0,17037
31,8162096678117;0,12356;0,17022
31,8328372883932;0,12352;0,17007
31,8494822977421;0,12348;0,16992
31,8661447231496;0,12343;0,16977
31,8828245919645;0,12339;0,16962
31,8995219315923;0,12334;0,16947
31,9162367694966;0,1233;0,16932
31,9329691331981;0,12325;0,16917
31,9497190502754;0,12321;0,16902
31,9664865483651;0,12317;0,16887
31,9832716551617;0,12312;0,16872
32,0000743984179;0,12308;0,16857
32,0168948059449;0,12303;0,16842
32,0337329056122;0,12299;0,16827
32,0505887253482;0,12295;0,16812
32,0674622931399;0,1229;0,16797
32,0843536370333;0,12286;0,16782
32,1012627851337;0,12281;0,16767
32,1181897656054;0,12277;0,16752
32,1351346066723;0,12272;0,16737
32,152097336618;0,12268;0,16723
32,1690779837857;0,12264;0,16708
32,1860765765784;0,12259;0,16693
32,2030931434595;0,12255;0,16678
32,2201277129522;0,1225;0,16663
32,2371803136405;0,12246;0,16648
32,2542509741687;0,12241;0,16633
32,2713397232419;0,12237;0,16618
32,2884465896259;0,12233;0,16603
32,3055716021477;0,12228;0,16588
32,3227147896955;0,12224;0,16574
32,3398761812188;0,1222;0,16559
32,3570558057285;0,12215;0,16544
32,3742536922974;0,12211;0,16529
32,39146987006;0,12207;0,16514
32,4087043682128;0,12202;0,165
32,4259572160145;0,12198;0,16485
32,4432284427862;0,12194;0,1647
32,4605180779114;0,12189;0,16455
32,4778261508363;0,12185;0,1644
32,49515269107;0,12181;0,16426
32,5124977281845;0,12176;0,16411
32,5298612918151;0,12172;0,16396
32,5472434116603;0,12167;0,16381
32,5646441174822;0,12163;0,16366
32,5820634391066;0,12159;0,16352
32,599501406423;0,12154;0,16337
32,6169580493852;0,1215;0,16322
32,6344333980109;0,12146;0,16307
32,6519274823824;0,12141;0,16292
32,6694403326463;0,12137;0,16278
32,6869719790142;0,12133;0,16263
32,7045224517623;0,12128;0,16248
32,722091781232;0,12124;0,16233
32,73967999783;0,1212;0,16218
32,7572871320283;0,12115;0,16204
32,7749132143645;0,12111;0,16189
32,792558275442;0,12107;0,16174
32,8102223459301;0,12102;0,16159
32,8279054565643;0,12098;0,16145
32,8456076381462;0,12094;0,1613
32,8633289215442;0,12089;0,16116
32,881069337693;0,12085;0,16101
32,8988289175943;0,12081;0,16086
32,9166076923169;0,12077;0,16072
32,9344056929966;0,12072;0,16057
32,9522229508367;0,12068;0,16042
32,9700594971082;0,12064;0,16028
32,9879153631495;0,12059;0,16013
33,0057905803672;0,12055;0,15999
33,0236851802358;0,12051;0,15984
33,0415991942984;0,12047;0,15969
