Energy;cff = 2.25
eV;
;3 order
51,031;0,00103058198343345
51,535;3,30628638062605E-4
52,039;7,96210561911597E-4
52,544;9,25681927018943E-4
53,048;4,96674508946652E-4
53,553;7,11955955178979E-4
54,057;0,00104399272410848
54,562;9,35854701367817E-4
55,066;6,01018167257154E-4
55,571;8,73518610769273E-4
56,074;9,65522536011904E-4
56,574;8,19161075941201E-4
57,074;6,75627216663658E-4
57,574;6,09105203749568E-4
58,073;7,98191822846598E-4
58,573;6,50141029335688E-4
59,073;8,16037828480392E-4
59,573;7,56190584340311E-4
60,073;8,1581696227203E-4
60,573;8,45700862709604E-4
61,073;7,77269791289425E-4
61,573;8,66734911368147E-4
62,073;8,35899270715848E-4
62,572;9,17591416242508E-4
63,072;0,00106157788132232
63,572;7,87149958801635E-4
64,072;9,64458175413563E-4
64,572;8,5105218358977E-4
65,072;8,14283868441939E-4
65,572;9,06814491960353E-4
66,072;7,65118894284706E-4
66,571;8,68645557446186E-4
67,071;8,20856207006301E-4
67,571;8,9578637795197E-4
68,071;8,61588600163671E-4
68,571;8,92182990507953E-4
69,071;8,64267453271182E-4
69,571;9,29918438506667E-4
70,071;9,74850962226936E-4
70,571;9,71986565187275E-4
71,07;8,88414676588947E-4
71,57;9,26251018611422E-4
72,07;9,44242694778264E-4
72,57;9,64443679856612E-4
73,07;0,0010128129994574
73,571;9,90552193594602E-4
74,071;0,00102117636336422
74,572;0,00100840608509012
75,072;0,00109128099501206
75,572;0,00108831648644805
76,073;0,00100553747184527
76,573;0,00113756343463989
77,074;0,00115620895434799
77,574;0,00116386455640433
78,074;0,00116810614273624
78,575;0,00116358218019153
79,075;0,00118592922207792
79,576;0,00122492415363451
80,076;0,00125051066978785
80,576;0,0012225592187113
81,077;0,00127206670048272
81,577;0,00129312996970856
82,078;0,00133350763716994
82,578;0,00132183754262126
83,078;0,00136734375041985
83,579;0,00136808442935309
84,079;0,00140543663670034
84,58;0,00137902661270717
85,08;0,00143994478806677
85,581;0,00148003050924289
86,081;0,00148083647408307
86,581;0,00151536417603898
87,082;0,00153472169814587
87,582;0,00155669378872038
88,083;0,00158474136593432
88,583;0,00159542752439859
89,083;0,00163811070287295
89,584;0,00165552471003907
90,084;0,00168097371950666
90,585;0,00170372175364375
91,085;0,00172404888480954
91,585;0,00176743366252005
92,086;0,00178217465208577
92,586;0,00180765873727349
93,087;0,0018437371481875
93,587;0,0018730651698541
94,087;0,00189462500415635
94,588;0,00192684115940515
95,088;0,00194803215273928
95,589;0,00197159211280317
96,089;0,00201151597457178
96,589;0,00202404192064288
97,09;0,00205042362809084
97,59;0,00208460690256304
98,091;0,0021103496501506
98,591;0,0021450970058491
99,092;0,00216768428594853
99,592;0,00219021672886002
100,092;0,00221652641467463
100,593;0,00224833568040743
101,093;0,00227463551519787
101,594;0,00230117548435564
102,094;0,00233370112123193
102,595;0,00236385878394393
103,095;0,00239436556655052
103,595;0,00242220264321265
104,096;0,00245565802862726
104,596;0,00248509918215338
105,097;0,0025251392853738
105,597;0,00255982802820627
106,098;0,00258903509329034
106,598;0,00262103377271359
107,098;0,00266553214545669
107,599;0,00269831829613535
108,099;0,00273474247563286
108,6;0,0027684874621513
109,1;0,0027982906579559
109,601;0,00283389364268436
110,101;0,00287530537124281
110,602;0,00290955700858937
111,102;0,00294851949480869
111,602;0,0029843237662521
112,103;0,00302203351321166
112,603;0,00305610942602653
113,104;0,00309557447679964
113,604;0,00312555833482896
114,105;0,00316517386232883
114,605;0,00319943486131036
115,105;0,00323652151289608
115,605;0,00327389675239278
116,106;0,00331085122004332
116,607;0,00334531444699658
117,107;0,00338367905657838
117,608;0,0034189934780006
118,108;0,00345536843243725
118,609;0,00348722012100515
119,109;0,00352322496142214
119,609;0,00355378022941891
121,111;0,00390112466710982
121,611;0,00386788846455374
122,112;0,00385741163464788
122,612;0,00386546796840912
123,112;0,00388121475049806
123,613;0,00390411910529514
124,113;0,00392630884875651
124,614;0,00395676759266148
125,114;0,00398307509309053
125,615;0,0040055310843378
126,115;0,00403750734237439
126,616;0,00406580083456065
127,116;0,00409949231445692
127,616;0,00412538463707407
128,117;0,00415718207052365
128,617;0,00419069864990275
129,118;0,0042189453165945
129,618;0,0042517155018449
130,119;0,00428480388531149
130,619;0,00430468682674949
131,119;0,00433551396395295
131,62;0,00437184077226399
132,12;0,00439993152067762
132,62;0,00443054791076814
133,121;0,0044621464428898
133,621;0,00449186551616274
134,122;0,00452262182434488
134,623;0,0045494548501565
135,123;0,00458085911799766
135,623;0,00461185443432653
136,124;0,0046422475180395
136,624;0,00467051891893407
137,125;0,00470081933158929
137,625;0,00473129658310945
138,126;0,00475818127428146
138,625;0,00478152160847122
139,126;0,00480956820675041
139,627;0,00483226668900781
140,127;0,00485636313839212
140,628;0,00487790764381558
141,128;0,00490128766501129
141,629;0,00491869629000393
142,129;0,00493683769333367
142,63;0,00495225232925213
143,13;0,0049665534347765
143,63;0,00498017724782196
144,13;0,00499225500094546
144,631;0,00500316824433892
145,132;0,0050124172922371
145,632;0,00502371142854946
146,133;0,00502786969676874
146,633;0,00503624789337043
147,133;0,00504078037030906
147,634;0,00504739737895104
148,133;0,00505465910468469
148,635;0,00505818173731489
149,134;0,00506137804251246
149,636;0,00506811357158241
150,136;0,00507363703734979
150,637;0,00508267738169284
151,137;0,00508873338971708
151,637;0,00509204314881989
152,138;0,00512711319693943
152,638;0,00510888240582763
153,139;0,00511744830566758
153,639;0,00512311351279572
154,14;0,00512942877675072
154,639;0,00513338016435915
155,14;0,00514027670385786
155,641;0,00514489723974886
156,141;0,00514848536607899
156,642;0,00514977955540289
157,142;0,00515255367276337
157,643;0,00515418961411697
158,142;0,00515257771067647
158,644;0,00514879016992798
159,143;0,00514427099704224
159,643;0,00513769032928159
160,145;0,00513545012037797
160,645;0,00512663086361246
161,146;0,00511076675474956
161,646;0,00510320604101235
162,147;0,00509036341646036
162,647;0,00507512561603916
163,147;0,00506345453110642
163,648;0,00504777300154948
164,148;0,00502769193920317
164,649;0,00500884221204281
165,149;0,00498825698088045
165,65;0,00497455085260398
166,15;0,00494851964639767
166,651;0,00493145825925738
167,151;0,00490746747877783
167,651;0,00489036002696258
168,152;0,00487180209075044
168,652;0,00484698707345636
169,152;0,00482672100998994
169,652;0,00480489967014313
170,153;0,00478733565197566
170,654;0,00476174309196694
171,154;0,00474071524790076
171,654;0,00472182489202108
172,154;0,0047025730609283
172,656;0,00467914014662424
173,155;0,00466682536239547
173,657;0,00465260272768834
174,157;0,00463463782890049
174,658;0,00461570489469644
175,157;0,0045951736288931
175,657;0,00457985707255079
176,158;0,0045658390033758
176,658;0,00454536936185101
177,16;0,00453066970922608
177,66;0,00450851346972392
178,16;0,00449744876669822
178,661;0,00448632515245926
179,16;0,00446959424745925
179,662;0,00445820555218626
180,162;0,00444360002344529
180,663;0,0044303769970924
181,162;0,00441482655151549
181,663;0,0044112255501216
182,163;0,00440452567526768
182,664;0,00439638516486181
183,164;0,00438974062661206
183,665;0,0043819882457513
184,165;0,00437887366268131
184,665;0,00437959858203543
185,166;0,00437234248283915
185,666;0,00436917827030188
186,168;0,00438178266270486
186,667;0,00438155483013729
187,167;0,00439998052154688
187,668;0,00437492801425256
188,168;0,00437854639533724
188,668;0,0043770707440455
189,167;0,00437784990396263
189,667;0,00438278356212132
190,166;0,00438294346588877
190,665;0,00437746437277195
191,165;0,00438783703170627
191,665;0,00437978893862623
192,163;0,00439149915592865
192,663;0,00439435391271167
193,162;0,00439436693758773
193,661;0,00439256591481922
194,161;0,00439943781493848
194,661;0,00439933451856581
195,16;0,00440879175321612
195,659;0,00441214047386567
196,158;0,00441235094961611
196,658;0,00441508246475737
197,157;0,00441767180305892
197,658;0,00442647762397382
198,157;0,00442761409773172
198,655;0,00443642190111139
199,156;0,00444178058396331
199,654;0,00443958640332431
200,155;0,00444467670937676
200,654;0,00446177482475526
201,153;0,00446321984904642
201,652;0,00447171790762998
202,151;0,00447251322638007
202,652;0,00448762805966533
203,15;0,00449641762879933
203,651;0,00450233006058125
204,149;0,00452022548712795
204,649;0,00452543108303973
205,149;0,00453298151149077
205,648;0,0045501024020459
206,148;0,00455642955421076
206,646;0,00456997467094541
207,147;0,00457403612174995
207,645;0,00458023281310778
208,145;0,00458900709789492
208,645;0,00460301288703792
209,143;0,00460584690206348
209,643;0,00462496708588031
210,142;0,00461619539566414
210,641;0,00463952534577588
211,141;0,00464252563146045
211,64;0,00464282275822933
212,141;0,00465084247784988
212,639;0,00465988812523131
213,14;0,00465854504299032
213,639;0,00466828771897581
214,137;0,00466687597622673
214,637;0,00467997872346235
215,137;0,0046880823708727
215,636;0,00467715478459567
216,136;0,00468663145211667
216,636;0,00469117662105666
217,134;0,0046936346914542
217,633;0,00468554092603682
218,134;0,00469272341288065
218,633;0,00469353250866022
219,132;0,0047029626988252
219,631;0,0046991634367223
220,131;0,004708107033151
220,63;0,00470652719115591
221,129;0,00470649607794721
221,629;0,00470948694030907
222,128;0,00471726521983719
222,629;0,00472141560848178
223,128;0,0046987790866052
223,626;0,00473330631524143
224,126;0,00474748632259675
224,625;0,00474917473749963
225,125;0,00476285455498417
225,624;0,00476818907846746
226,125;0,00477107063754423
226,623;0,00478251606032144
227,122;0,00479280838526891
227,622;0,00480074218470752
228,122;0,00481473774847534
228,622;0,00482053587611636
229,12;0,00483434362816259
229,619;0,00483495818121535
