Energy;alpha = 2 deg
eV;
;1 order
51,031;0,0182610584335827
51,535;0,0178137147150529
52,039;0,0186051933396946
52,544;0,0187341098309878
53,048;0,0189677055873665
53,553;0,0195214276638164
54,057;0,0194175868446311
54,562;0,0203614234998357
55,066;0,0206476986259629
55,571;0,0209700538016528
56,074;0,0212984634885886
56,574;0,0216568998184048
57,074;0,0219516417355929
57,574;0,0222990997896149
58,073;0,0225892771637121
58,573;0,0231567069372113
59,073;0,023443061520072
59,573;0,0237464702434927
60,073;0,0240561132895883
60,573;0,0245200753265358
61,073;0,0246602075955678
61,573;0,0250620088002778
62,073;0,0255672807885141
62,572;0,0259380758793401
63,072;0,0263590865528916
63,572;0,0265138819959799
64,072;0,0269300078633373
64,572;0,0270359962992718
65,072;0,0275502789274983
65,572;0,0278196077607151
66,072;0,0280997861823379
66,571;0,0284198709578735
67,071;0,028672711911483
67,571;0,0290766776238076
68,071;0,0294308758807683
68,571;0,0297515321756559
69,071;0,0301685933305865
69,571;0,0305523741368588
70,071;0,0315573401820675
70,571;0,0309411635222046
71,07;0,0302417026088306
71,57;0,0313503329205038
72,07;0,0320317138458861
72,57;0,0324487088717245
73,07;0,0330041545514023
73,571;0,0333790230208372
74,071;0,0335620236227102
74,572;0,0338752466659548
75,072;0,0344955474856902
75,572;0,0349992678490476
76,073;0,0353936414937695
76,573;0,0358436735421147
77,074;0,0363020121783814
77,574;0,0366798852813631
78,074;0,0371207404855008
78,575;0,0374612168112459
79,075;0,0380942368148493
79,576;0,0384627195420797
80,076;0,038841313395476
80,576;0,0401124536838336
81,077;0,0395112796074025
81,577;0,0398859302800714
82,078;0,0403763088519008
82,578;0,0408125840706075
83,078;0,0411632260130558
83,579;0,0416334767560993
84,079;0,0421146698304999
84,58;0,0424958960169975
85,08;0,0429598079801978
85,581;0,0434138316585742
86,081;0,0438050859530427
86,581;0,0443114986349555
87,082;0,0446719520172544
87,582;0,045117757071376
88,083;0,0455858994087968
88,583;0,0460602876101356
89,083;0,0465301035704686
89,584;0,0470646318726654
90,084;0,0475151779771748
90,585;0,0479907432003387
91,085;0,0484591644205038
91,585;0,0489247282133302
92,086;0,0494094250852425
92,586;0,0499048515704356
93,087;0,0503974875028704
93,587;0,0509092684311325
94,087;0,0513857613037342
94,588;0,0518929436972484
95,088;0,0523004522578874
95,589;0,0527279874660888
96,089;0,0531889215184206
96,589;0,0536632621740256
97,09;0,0541294586577478
97,59;0,0545812214576242
98,091;0,0550580563240391
98,591;0,0554824532788962
99,092;0,0558974787413602
99,592;0,0563051715184915
100,092;0,0567334045147298
100,593;0,0571992564714294
101,093;0,0576720012316704
101,594;0,0581252621338137
102,094;0,0586153836808338
102,595;0,0590634635698046
103,095;0,0595757865470178
103,595;0,0600420905357594
104,096;0,0605099424865904
104,596;0,0610517686382035
105,097;0,061557096405751
105,597;0,0620336476188845
106,098;0,0625457464302127
106,598;0,0630345758036036
107,098;0,0635288876009774
107,599;0,0640261750458963
108,099;0,06450573931176
108,6;0,0649838925285373
109,1;0,0654489567194845
109,601;0,0646061745112872
110,101;0,0665962269471339
110,602;0,0669144693907259
111,102;0,0674194199243412
111,602;0,06779013359547
112,103;0,0685568113203555
112,603;0,0688959120803744
113,104;0,0695346298568196
113,604;0,0700139120305515
114,105;0,0704085708218753
114,605;0,0709218573353991
115,105;0,0712134645840003
115,606;0,0717053508447447
116,106;0,0721290234661805
116,607;0,0726425783480167
117,107;0,0731432865236738
117,608;0,0734884133089044
118,107;0,073763218149336
118,609;0,0744587532852449
119,109;0,0747211551598155
119,609;0,0751069041845443
120,11;0,0768773478837699
120,61;0,0763181058086339
121,11;0,0764581422762142
121,611;0,0768777032474991
122,112;0,0772590456466881
122,612;0,0775684241557543
123,112;0,078020135399002
123,613;0,0784100944449044
124,113;0,0787826845848795
124,614;0,0792898415439741
125,114;0,0795163518073836
125,614;0,0800055822181965
126,115;0,080229415758813
126,616;0,080793231127577
127,116;0,0811958747207367
127,616;0,0816220648053355
128,117;0,0820118597802739
128,617;0,0821911022359351
129,118;0,0826315056381555
129,618;0,0830076750494919
130,119;0,0834173954620966
130,619;0,0836892768207921
131,119;0,0840554581578707
131,62;0,0838576690731391
132,12;0,0847298995192689
132,621;0,0850792291560971
133,121;0,085513301903331
133,622;0,085965428812212
134,122;0,0861100533934015
134,623;0,0866187610798244
135,123;0,0869049876757663
135,623;0,0872035532931105
136,124;0,0875654392813851
136,624;0,08785842759336
137,125;0,0882406518693936
137,625;0,0885785290088862
138,126;0,0888016350918202
138,626;0,0891343971744989
139,125;0,0894728911651577
139,627;0,0897317867897463
140,127;0,0900317435040071
140,628;0,0902826028148192
141,128;0,0905739702149143
141,629;0,09079531176695
142,129;0,0910548672262279
142,63;0,0912289811716325
143,129;0,0914292189308887
143,63;0,0916673138064781
144,131;0,0917772250939571
144,631;0,0920791327923707
145,132;0,0923118101309408
145,631;0,0924974555382475
146,133;0,0925928711496416
146,633;0,0927846937882192
147,133;0,0930360419098292
147,634;0,093199490075147
148,134;0,0933114560991105
148,635;0,0935402431911735
149,134;0,0936042683248457
149,636;0,0938579628078677
150,135;0,0939892110519688
150,637;0,0941672969134064
151,137;0,0944658396880423
151,637;0,0945818913421774
152,137;0,0947754499030663
152,638;0,094975618424096
153,139;0,0951287279378059
153,639;0,0953399479673475
154,14;0,0955273179974868
154,64;0,0957814277120426
155,139;0,0958509264487072
155,641;0,0960191865714159
156,141;0,0962281262396593
156,642;0,0964129224115448
157,142;0,0965665546064611
157,643;0,0966668097481396
158,142;0,0967522702749219
158,644;0,0968548604731605
159,143;0,0968737542666685
159,644;0,0969778056050555
160,145;0,0971294062128793
160,645;0,097181186472003
161,145;0,0972835751070713
161,646;0,0972724572752859
162,147;0,0974736892537555
162,646;0,0973704611315134
163,147;0,097385815797243
163,648;0,097424090643854
164,148;0,0975364139554732
164,648;0,0974853146014452
165,149;0,0974693398988713
165,65;0,0973910512529832
166,15;0,0974792735599449
166,651;0,097359608417421
167,151;0,0974514600280203
167,651;0,0974055006210688
168,152;0,0973758348026921
168,652;0,0974355455731994
169,152;0,0974664213935943
169,653;0,0974035638310997
170,153;0,0974232879451708
170,654;0,0973896630139225
171,154;0,0972232317484347
171,654;0,0973134610226608
172,154;0,0972843441023013
172,656;0,0973200967918756
173,155;0,0973888247943861
173,657;0,0974071033629524
174,157;0,0974186188788154
174,658;0,0974019433663713
175,157;0,0974364795542283
175,657;0,0974871066891897
176,158;0,097508527099795
176,659;0,0974306713971535
177,159;0,0974525743432231
177,66;0,0975080992403082
178,161;0,0975193214085362
178,661;0,0974348691597603
179,16;0,0975303167130669
179,662;0,0975181765591911
180,161;0,0976282469875105
180,663;0,097662900748377
181,162;0,0976813962896922
181,663;0,097796447314717
182,163;0,0979273895313419
182,664;0,0980295976106326
183,165;0,0981348347495283
