Energy	cff = 2.25	alpha = 2 deg	alpha = 4 deg	cff = 2.25	cff = 2.25
eV					
	1 order	1 order	1 order	2 order	3 order
30	0.022235146	0.00857	0.01716	0.00471	0.00116
30.64641	0.022780577	0.00887	0.01777	0.00481	0.0012
31.30676	0.023387747	0.0092	0.01844	0.00493	0.00125
31.98133	0.024063678	0.00955	0.01917	0.00507	0.0013
32.67044	0.024693772	0.0099	0.01988	0.00518	0.00135
33.37439	0.025322551	0.01025	0.02061	0.0053	0.00139
34.09351	0.025877271	0.01059	0.02129	0.00539	0.00143
34.82813	0.026391113	0.01092	0.02195	0.00547	0.00147
35.57858	0.026864074	0.01125	0.0226	0.00554	0.0015
36.3452	0.027349949	0.01159	0.02327	0.0056	0.00153
37.12833	0.02783349	0.01193	0.02395	0.00567	0.00156
37.92834	0.028294588	0.01228	0.02462	0.00572	0.00159
38.74559	0.028723955	0.01262	0.02527	0.00577	0.00161
39.58045	0.029082691	0.01294	0.02588	0.00579	0.00163
40.4333	0.029286494	0.01322	0.02636	0.00577	0.00163
41.30452	0.029558918	0.01352	0.02691	0.00577	0.00164
42.19451	0.029855832	0.01384	0.02748	0.00578	0.00165
43.10368	0.030129381	0.01415	0.02804	0.00577	0.00165
44.03245	0.030339399	0.01445	0.02855	0.00576	0.00165
44.98122	0.030594442	0.01477	0.02911	0.00575	0.00166
45.95044	0.030859791	0.0151	0.02967	0.00574	0.00166
46.94054	0.031039946	0.0154	0.03016	0.00572	0.00166
47.95197	0.031292256	0.01574	0.03073	0.00571	0.00166
48.9852	0.03179292	0.01618	0.03154	0.00576	0.00169
50.0407	0.032463633	0.0167	0.03254	0.00586	0.00174
51.11893	0.033243246	0.01727	0.03366	0.00597	0.00179
52.2204	0.034110289	0.0179	0.03489	0.0061	0.00186
53.3456	0.035125244	0.0186	0.0363	0.00626	0.00194
54.49504	0.036235705	0.01935	0.03784	0.00644	0.00203
55.66926	0.037338067	0.02012	0.0394	0.00662	0.00213
56.86877	0.038546924	0.02095	0.04111	0.00682	0.00223
58.09413	0.03977016	0.02181	0.04286	0.00701	0.00234
59.3459	0.040939961	0.02266	0.04459	0.00719	0.00244
60.62463	0.04203989	0.02349	0.04628	0.00735	0.00254
61.93092	0.042920172	0.02425	0.04773	0.00746	0.00261
63.26535	0.043760724	0.025	0.04917	0.00755	0.00268
64.62855	0.0445561	0.02574	0.05056	0.00763	0.00273
66.0211	0.045244168	0.02645	0.05185	0.00768	0.00278
67.44367	0.046111695	0.02726	0.05337	0.00777	0.00285
68.8969	0.047244608	0.02821	0.05525	0.00791	0.00295
70.38142	0.048840184	0.02942	0.05775	0.00816	0.0031
71.89794	0.050721239	0.03079	0.06067	0.00846	0.00329
73.44714	0.052662764	0.03223	0.06374	0.00876	0.0035
75.02972	0.054748721	0.03377	0.06706	0.00909	0.00373
76.64639	0.056671456	0.03526	0.07023	0.00938	0.00394
78.2979	0.058451328	0.03671	0.07327	0.00963	0.00413
79.98501	0.060212288	0.03818	0.07633	0.00987	0.00433
81.70846	0.062013485	0.0397	0.07952	0.01011	0.00453
83.46904	0.063750997	0.04122	0.08266	0.01033	0.00473
