Energy	cff = 2.25	alpha = 2 deg	alpha = 4 deg	cff = 2.25	cff = 2.25
eV					
	1 order	1 order	1 order	2 order	3 order
30	0.025492392	0.0098683229	0.019709632	0.0061384197	9.2800468E-4
30.64641	0.026118431	0.010214201	0.020409212	0.0062641078	9.6247863E-4
31.30676	0.026820956	0.010590576	0.021178005	0.0064114025	0.0010029594
31.98133	0.027611632	0.011001813	0.022027019	0.0065844185	0.0010503656
32.67044	0.028347256	0.011405207	0.022853173	0.0067375223	0.0010936195
33.37439	0.029081117	0.011816939	0.023695035	0.0068870424	0.0011369757
34.09351	0.029722484	0.012208737	0.024483563	0.0070044352	0.0011730113
34.82813	0.03031105	0.012592318	0.025246536	0.0071022161	0.0012048377
35.57858	0.03084494	0.012966618	0.025980765	0.007179854	0.0012322894
36.3452	0.031389356	0.013352309	0.026736379	0.0072579253	0.0012606201
37.12833	0.031926129	0.0137436	0.027499055	0.0073310398	0.0012882388
37.92834	0.032434352	0.014133497	0.028251333	0.0073929098	0.0013133866
38.74559	0.032901723	0.014517523	0.028981846	0.0074400599	0.0013349963
39.58045	0.033278562	0.014877971	0.029646816	0.007458136	0.0013488344
40.4333	0.033454016	0.015174692	0.030147027	0.0074148886	0.0013458913
41.30452	0.033709902	0.015505084	0.030720958	0.007394264	0.0013497586
42.19451	0.033994794	0.015851723	0.03132591	0.0073812143	0.0013558702
43.10368	0.034248531	0.016192945	0.031908527	0.0073584546	0.0013592355
44.03245	0.034418922	0.016508728	0.032419417	0.0073116082	0.0013557177
44.98122	0.034643486	0.016850056	0.032982882	0.0072794962	0.0013566538
45.95044	0.034880958	0.01720188	0.033561926	0.0072504859	0.0013585351
46.94054	0.035008594	0.017516108	0.034038998	0.0071914527	0.0013515546
47.95197	0.035223529	0.017869906	0.034601118	0.0071552107	0.0013519152
48.9852	0.035748523	0.018355591	0.035471983	0.0071990564	0.0013770101
50.0407	0.036486976	0.018938808	0.036567912	0.00729548	0.0014191176
51.11893	0.037363455	0.019591693	0.037821334	0.0074237175	0.0014725031
52.2204	0.038349282	0.020304529	0.039208695	0.0075755827	0.0015352292
53.3456	0.039518949	0.021111146	0.040813066	0.0077692699	0.0016140703
54.49504	0.040805243	0.021985317	0.04257156	0.007987557	0.0017040577
55.66926	0.042078357	0.02287231	0.044349629	0.008197437	0.0017942664
56.86877	0.043480471	0.023835327	0.046302788	0.0084340051	0.001897621
58.09413	0.044895843	0.024824597	0.048308749	0.0086690923	0.0020039922
59.3459	0.046241779	0.025803555	0.050274812	0.0088813771	0.0021054735
60.62463	0.047495879	0.026760852	0.052171767	0.0090669803	0.0021993169
61.93092	0.048474807	0.027610516	0.053780772	0.00918057	0.0022668117
63.26535	0.049403816	0.028454123	0.055353694	0.0092766872	0.0023295558
64.62855	0.050275519	0.029287137	0.056878611	0.0093548447	0.0023866042
66.0211	0.051016103	0.030073173	0.058261789	0.0093967412	0.0024303677
67.44367	0.051981263	0.030984852	0.059935775	0.0094847353	0.0024967664
68.8969	0.053275768	0.032079104	0.062043939	0.0096413828	0.0025971269
70.38142	0.05513899	0.033483189	0.064910367	0.0099192243	0.0027585202
