Energy	cff = 2.25	alpha = 2 deg	alpha = 4 deg	cff = 2.25	cff = 2.25
eV					
	1 order	1 order	1 order	2 order	3 order
30	0.025500324	0.0098762289	0.01972	0.0061344854	9.2738401E-4
30.64641	0.026127784	0.010222717	0.02042	0.0062605096	9.6190849E-4
31.30676	0.026826419	0.010598141	0.02119	0.0064063394	0.0010020914
31.98133	0.027603386	0.011005454	0.02203	0.0065745641	0.0010485457
32.67044	0.02832604	0.011405049	0.02284	0.0067231292	0.0010908912
33.37439	0.029046472	0.011812746	0.02367	0.0068679769	0.0011332905
34.09351	0.029680617	0.012202323	0.02446	0.0069828047	0.0011688014
34.82813	0.030267291	0.0125853	0.02522	0.0070798164	0.0012004781
35.57858	0.030807048	0.012961458	0.02595	0.0071592564	0.0012283275
36.3452	0.031361677	0.01335048	0.02672	0.0072405213	0.00125736
37.12833	0.031913225	0.013746699	0.02749	0.0073182615	0.0012860087
37.92834	0.032438733	0.014142501	0.02826	0.0073855021	0.0013123795
38.74559	0.032927569	0.014534018	0.02901	0.0074392729	0.0013355236
39.58045	0.033334844	0.014905271	0.0297	0.0074666846	0.0013515428
40.4333	0.033564862	0.015221609	0.03025	0.0074401614	0.0013524414
41.30452	0.033874843	0.015572074	0.03087	0.0074358312	0.0013600662
42.19451	0.034212846	0.015939053	0.03152	0.007438465	0.0013698429
43.10368	0.034523774	0.016302761	0.03216	0.0074322992	0.0013771139
44.03245	0.034761935	0.016645741	0.03274	0.0074048536	0.0013781328
44.98122	0.035052262	0.01701433	0.03337	0.007391199	0.0013834306
45.95044	0.035354316	0.017393788	0.03401	0.0073799226	0.001389553
46.94054	0.035558492	0.017741315	0.03457	0.0073416308	0.0013874561
47.95197	0.035847344	0.018128306	0.03521	0.0073250975	0.0013925059
48.9852	0.036422845	0.018638264	0.03614	0.0073819822	0.0014210421
50.0407	0.037194386	0.019238953	0.03728	0.0074865455	0.0014656947
51.11893	0.03809144	0.019904345	0.03856	0.0076193986	0.0015209732
52.2204	0.039089322	0.020626256	0.03997	0.0077735004	0.0015851583
53.3456	0.0402578	0.021436278	0.04159	0.0079658423	0.0016647658
54.49504	0.041535225	0.022310486	0.04335	0.0081806723	0.0017551014
55.66926	0.042802088	0.023198713	0.04513	0.0083877286	0.0018457953
56.86877	0.044190947	0.024159769	0.04708	0.0086196056	0.001949226
58.09413	0.045593385	0.025147196	0.04908	0.0088500278	0.0020556706
59.3459	0.046932817	0.026127264	0.05105	0.0090592988	0.0021575878
60.62463	0.04818771	0.027089138	0.05296	0.0092437258	0.0022523359
61.93092	0.049188711	0.027953627	0.05461	0.0093615996	0.002322125
63.26535	0.050145432	0.028815133	0.05622	0.0094633717	0.0023875602
64.62855	0.05104997	0.029669005	0.0578	0.0095483456	0.0024476661
66.0211	0.051833678	0.030481571	0.05925	0.0095994994	0.0024951545
67.44367	0.052827794	0.031413272	0.06097	0.0096930675	0.0025643739
68.8969	0.054130498	0.032517347	0.06311	0.0098500699	0.0026662464
70.38142	0.055967897	0.033913739	0.06596	0.010119906	0.0028269622
71.89794	0.058126789	0.035502739	0.06928	0.010456465	0.0030274801
73.44714	0.060350135	0.037158709	0.07275	0.010799258	0.0032411169
