PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,85.117790,0.003357,85.972804
70.0000,85.868623,0.000202,86.478860
90.0000,86.353945,0.000014,86.828354
110.0000,86.700568,0.000016,87.088604
130.0000,86.964041,0.000000,87.292309
150.0000,87.173046,0.000003,87.457499
170.0000,87.344086,0.000001,87.595044
190.0000,87.487419,0.000000,87.711938
210.0000,87.609799,0.000000,87.812919
230.0000,87.715879,0.000000,87.901324
250.0000,87.808982,0.000000,87.979582
270.0000,87.891557,0.000000,88.049512
290.0000,87.965448,0.000000,88.112503
310.0000,88.032078,0.000000,88.169641
330.0000,88.092563,0.000000,88.221785
350.0000,88.147793,0.000000,88.269627
370.0000,88.198488,0.000000,88.313734
390.0000,88.245236,0.000000,88.354569
410.0000,88.288523,0.000000,88.392521
430.0000,88.328758,0.000000,88.427917
450.0000,88.366282,0.000000,88.461032
470.0000,88.401387,0.000000,88.492104
490.0000,88.434322,0.000000,88.521335
510.0000,88.465302,0.000000,88.548902
530.0000,88.494513,0.000000,88.574957
550.0000,88.522117,0.000000,88.599635
570.0000,88.548256,0.000000,88.623053
590.0000,88.573056,0.000000,88.645317
610.0000,88.596627,0.000000,88.666517
630.0000,88.619066,0.000000,88.686738
650.0000,88.640463,0.000000,88.706052
670.0000,88.660895,0.000000,88.724525
690.0000,88.680433,0.000000,88.742218
710.0000,88.699139,0.000000,88.759184
730.0000,88.717073,0.000000,88.775472
750.0000,88.734284,0.000000,88.791125
770.0000,88.750820,0.000000,88.806185
790.0000,88.766725,0.000000,88.820688
810.0000,88.782038,0.000000,88.834668
830.0000,88.796794,0.000000,88.848156
850.0000,88.811026,0.000000,88.861179
870.0000,88.824765,0.000000,88.873765
890.0000,88.838039,0.000000,88.885937
910.0000,88.850872,0.000000,88.897718
930.0000,88.863290,0.000000,88.909128
950.0000,88.875313,0.000000,88.920186
970.0000,88.886963,0.000000,88.930910
990.0000,88.898258,0.000000,88.941318
1010.0000,88.909216,0.000000,88.951423
1030.0000,88.919854,0.000000,88.961241
1050.0000,88.930186,0.000000,88.970785
1070.0000,88.940228,0.000000,88.980067
1090.0000,88.949991,0.000000,88.989100
1110.0000,88.959490,0.000000,88.997894
1130.0000,88.968736,0.000000,89.006460
1150.0000,88.977739,0.000000,89.014807
1170.0000,88.986511,0.000000,89.022945
1190.0000,88.995061,0.000000,89.030882
1210.0000,89.003397,0.000000,89.038627
1230.0000,89.011530,0.000000,89.046187
1250.0000,89.019467,0.000000,89.053569
1270.0000,89.027216,0.000001,89.060781
1290.0000,89.034784,0.000000,89.067828
1310.0000,89.042178,0.000000,89.074717
1330.0000,89.049404,0.000000,89.081455
1350.0000,89.056470,0.000000,89.088045
1370.0000,89.063380,0.000000,89.094494
1390.0000,89.070141,0.000000,89.100807
1410.0000,89.076757,0.000000,89.106988
1430.0000,89.083234,0.000000,89.113042
1450.0000,89.089576,0.000000,89.118974
1470.0000,89.095789,0.000000,89.124787
1490.0000,89.101876,0.000000,89.130485
1510.0000,89.107842,0.000000,89.136072
1530.0000,89.113691,0.000000,89.141551
1550.0000,89.119426,0.000000,89.146927
1570.0000,89.125051,0.000000,89.152201
1590.0000,89.130570,0.000000,89.157379
1610.0000,89.135985,0.000000,89.162461
1630.0000,89.141301,0.000000,89.167452
1650.0000,89.146520,0.000000,89.172354
1670.0000,89.151645,0.000000,89.177169
1690.0000,89.156678,0.000000,89.181900
1710.0000,89.161623,0.000000,89.186550
1730.0000,89.166482,0.000000,89.191121
1750.0000,89.171257,0.000000,89.195615
1770.0000,89.175952,0.000000,89.200034
1790.0000,89.180567,0.000000,89.204380
1810.0000,89.185106,0.000000,89.208656
1830.0000,89.189570,0.000000,89.212863
1850.0000,89.193962,0.000000,89.217002
1870.0000,89.198283,0.000000,89.221077
1890.0000,89.202535,0.000000,89.225088
1910.0000,89.206720,0.000000,89.229037
1930.0000,89.210840,0.000000,89.232926
1950.0000,89.214897,0.000000,89.236756
1970.0000,89.218891,0.000000,89.240528
1990.0000,89.222825,0.000000,89.244245
