PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.000000,0.029810,10.677247
70.0000,4.000000,0.055743,9.271068
90.0000,4.000000,0.089478,8.389646
110.0000,4.000000,0.131290,7.777311
130.0000,4.000000,0.172031,7.323656
150.0000,4.000000,0.202435,6.972349
170.0000,4.000000,0.202998,6.691334
190.0000,4.000000,0.172840,6.460892
210.0000,4.000000,0.154869,6.268170
230.0000,4.000000,0.156853,6.104395
250.0000,4.000000,0.164959,5.963364
270.0000,4.000000,0.175553,5.840550
290.0000,4.000000,0.187073,5.732572
310.0000,4.000000,0.196191,5.636848
330.0000,4.000000,0.203814,5.551368
350.0000,4.000000,0.209298,5.474547
370.0000,4.000000,0.212862,5.405112
390.0000,4.000000,0.212316,5.342033
410.0000,4.000000,0.210320,5.284464
430.0000,4.000000,0.204705,5.231703
450.0000,4.000000,0.196494,5.183166
470.0000,4.000000,0.186292,5.138360
490.0000,4.000000,0.173851,5.096865
510.0000,4.000000,0.160087,5.058324
530.0000,4.000000,0.145469,5.022429
550.0000,4.000000,0.130344,4.988915
570.0000,4.000000,0.115223,4.957550
590.0000,4.000000,0.100352,4.928132
610.0000,4.000000,0.085980,4.900484
630.0000,4.000000,0.070242,4.874449
650.0000,4.000000,0.057259,4.849890
670.0000,4.000000,0.045934,4.826683
690.0000,4.000000,0.035681,4.804719
710.0000,4.000000,0.026780,4.783901
730.0000,4.000000,0.019299,4.764140
750.0000,4.000000,0.013237,4.745357
770.0000,4.000000,0.008524,4.727481
790.0000,4.000000,0.005047,4.710447
810.0000,4.000000,0.002671,4.694197
830.0000,4.000000,0.001223,4.678679
850.0000,4.000000,0.000556,4.663842
870.0000,4.000000,0.000513,4.649644
890.0000,4.000000,0.000936,4.636043
910.0000,4.000000,0.001658,4.623003
930.0000,4.000000,0.002441,4.610489
950.0000,4.000000,0.003338,4.598471
970.0000,4.000000,0.004188,4.586918
990.0000,4.000000,0.004904,4.575805
1010.0000,4.000000,0.005419,4.565106
1030.0000,4.000000,0.005713,4.554800
1050.0000,4.000000,0.005782,4.544864
1070.0000,4.000000,0.005600,4.535279
1090.0000,4.000000,0.005197,4.526026
1110.0000,4.000000,0.004640,4.517089
1130.0000,4.000000,0.004006,4.508452
1150.0000,4.000000,0.003357,4.500099
1170.0000,4.000000,0.002744,4.492017
1190.0000,4.000000,0.002194,4.484193
1210.0000,4.000000,0.001717,4.476615
1230.0000,4.000000,0.001290,4.469271
1250.0000,4.000000,0.000940,4.462150
1270.0000,4.000000,0.000672,4.455243
1290.0000,4.000000,0.000481,4.448540
1310.0000,4.000000,0.000364,4.442032
1330.0000,4.000000,0.000316,4.435711
1350.0000,4.000000,0.000321,4.429568
1370.0000,4.000000,0.000362,4.423596
1390.0000,4.000000,0.000418,4.417789
1410.0000,4.000000,0.000475,4.412139
1430.0000,4.000000,0.000520,4.406640
1450.0000,4.000000,0.000548,4.401286
1470.0000,4.000000,0.000553,4.396072
1490.0000,4.000000,0.000536,4.390992
1510.0000,4.000000,0.000495,4.386040
1530.0000,4.000000,0.000426,4.381213
1550.0000,4.000000,0.000356,4.376505
1570.0000,4.000000,0.000292,4.371913
1590.0000,4.000000,0.000242,4.367431
1610.0000,4.000000,0.000211,4.363056
1630.0000,4.000000,0.000193,4.358784
1650.0000,4.000000,0.000183,4.354612
1670.0000,4.000000,0.000175,4.350536
1690.0000,4.000000,0.000161,4.346553
1710.0000,4.000000,0.000139,4.342659
1730.0000,4.000000,0.000113,4.338852
1750.0000,4.000000,0.000087,4.335129
1770.0000,4.000000,0.000067,4.331486
1790.0000,4.000000,0.000054,4.327923
1810.0000,4.000000,0.000049,4.324435
1830.0000,4.000000,0.000049,4.321020
1850.0000,4.000000,0.000051,4.317677
1870.0000,4.000000,0.000052,4.314403
1890.0000,4.000000,0.000052,4.311196
1910.0000,4.000000,0.000053,4.308054
1930.0000,4.000000,0.000054,4.304974
1950.0000,4.000000,0.000056,4.301956
1970.0000,4.000000,0.000059,4.298997
1990.0000,4.000000,0.000060,4.296095
