GrazingAngle_deg,PhotonEnergy_eV,DiffractionEfficiency,ExitAngle_beta_deg
0.300000,1000.0000,0.102705,2.230394
0.400000,1000.0000,0.130845,2.246035
0.500000,1000.0000,0.156171,2.265987
0.600000,1000.0000,0.178763,2.290136
0.700000,1000.0000,0.198670,2.318352
0.800000,1000.0000,0.215921,2.350488
0.900000,1000.0000,0.230529,2.386385
1.000000,1000.0000,0.242499,2.425878
1.100000,1000.0000,0.251838,2.468792
1.200000,1000.0000,0.258558,2.514953
1.300000,1000.0000,0.262683,2.564187
1.400000,1000.0000,0.264258,2.616318
1.500000,1000.0000,0.263346,2.671178
1.600000,1000.0000,0.260039,2.728602
1.700000,1000.0000,0.254451,2.788432
1.800000,1000.0000,0.246727,2.850515
1.900000,1000.0000,0.237036,2.914709
2.000000,1000.0000,0.225569,2.980877
2.100000,1000.0000,0.212540,3.048890
2.200000,1000.0000,0.198226,3.118627
2.300000,1000.0000,0.156693,3.189976
2.400000,1000.0000,0.129390,3.262830
2.500000,1000.0000,0.105456,3.337092
2.600000,1000.0000,0.084003,3.412669
2.700000,1000.0000,0.064941,3.489476
2.800000,1000.0000,0.048344,3.567433
2.900000,1000.0000,0.034299,3.646467
3.000000,1000.0000,0.022853,3.726509
3.100000,1000.0000,0.014011,3.807495
3.200000,1000.0000,0.007332,3.889367
3.300000,1000.0000,0.003355,3.972069
3.400000,1000.0000,0.001377,4.055552
3.500000,1000.0000,0.000888,4.139767
3.600000,1000.0000,0.001424,4.224672
3.700000,1000.0000,0.002535,4.310224
3.800000,1000.0000,0.003767,4.396387
3.900000,1000.0000,0.004522,4.483125
4.000000,1000.0000,0.005189,4.570405
4.100000,1000.0000,0.005473,4.658198
4.200000,1000.0000,0.005362,4.746474
4.300000,1000.0000,0.004919,4.835207
4.400000,1000.0000,0.004240,4.924372
4.500000,1000.0000,0.003304,5.013947
4.600000,1000.0000,0.002524,5.103909
4.700000,1000.0000,0.001835,5.194239
4.800000,1000.0000,0.001255,5.284918
4.900000,1000.0000,0.000798,5.375927
5.000000,1000.0000,0.000454,5.467252
5.100000,1000.0000,0.000228,5.558875
5.200000,1000.0000,0.000107,5.650783
5.300000,1000.0000,0.000067,5.742962
5.400000,1000.0000,0.000084,5.835398
5.500000,1000.0000,0.000141,5.928081
5.600000,1000.0000,0.000216,6.020998
5.700000,1000.0000,0.000286,6.114139
5.800000,1000.0000,0.000336,6.207494
5.900000,1000.0000,0.000350,6.301054
6.000000,1000.0000,0.000346,6.394808
