PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,2.000000,0.015321,10.096717
55.0000,2.000000,0.017682,9.644664
60.0000,2.000000,0.020615,9.251262
65.0000,2.000000,0.024379,8.904941
70.0000,2.000000,0.028137,8.597092
75.0000,2.000000,0.031612,8.321153
80.0000,2.000000,0.035476,8.072028
85.0000,2.000000,0.039208,7.845691
90.0000,2.000000,0.044391,7.638911
95.0000,2.000000,0.049440,7.449062
100.0000,2.000000,0.054199,7.273988
105.0000,2.000000,0.059181,7.111895
110.0000,2.000000,0.064053,6.961281
115.0000,2.000000,0.068867,6.820874
120.0000,2.000000,0.073701,6.689592
125.0000,2.000000,0.078576,6.566505
130.0000,2.000000,0.083719,6.450812
135.0000,2.000000,0.088664,6.341815
140.0000,2.000000,0.092948,6.238906
145.0000,2.000000,0.096951,6.141551
150.0000,2.000000,0.100210,6.049278
155.0000,2.000000,0.103161,5.961670
160.0000,2.000000,0.105107,5.878356
165.0000,2.000000,0.106210,5.799005
170.0000,2.000000,0.106464,5.723321
175.0000,2.000000,0.105340,5.651036
180.0000,2.000000,0.103943,5.581910
185.0000,2.000000,0.102399,5.515726
190.0000,2.000000,0.100900,5.452287
195.0000,2.000000,0.099628,5.391413
200.0000,2.000000,0.098886,5.332941
205.0000,2.000000,0.098723,5.276722
210.0000,2.000000,0.099072,5.222619
215.0000,2.000000,0.100437,5.170507
220.0000,2.000000,0.102120,5.120270
225.0000,2.000000,0.103786,5.071802
230.0000,2.000000,0.105728,5.025005
235.0000,2.000000,0.108058,4.979789
240.0000,2.000000,0.110480,4.936069
245.0000,2.000000,0.112920,4.893767
250.0000,2.000000,0.115597,4.852812
255.0000,2.000000,0.118478,4.813135
260.0000,2.000000,0.121309,4.774673
265.0000,2.000000,0.124181,4.737370
270.0000,2.000000,0.127205,4.701168
275.0000,2.000000,0.130525,4.666018
280.0000,2.000000,0.133861,4.631871
285.0000,2.000000,0.136951,4.598683
290.0000,2.000000,0.139941,4.566411
295.0000,2.000000,0.142900,4.535014
300.0000,2.000000,0.145859,4.504457
305.0000,2.000000,0.148848,4.474704
310.0000,2.000000,0.151941,4.445721
315.0000,2.000000,0.155073,4.417478
320.0000,2.000000,0.158104,4.389944
325.0000,2.000000,0.161061,4.363092
330.0000,2.000000,0.163999,4.336895
335.0000,2.000000,0.166939,4.311328
340.0000,2.000000,0.169902,4.286368
345.0000,2.000000,0.172926,4.261991
350.0000,2.000000,0.176139,4.238177
355.0000,2.000000,0.179400,4.214906
360.0000,2.000000,0.182547,4.192157
365.0000,2.000000,0.185535,4.169912
370.0000,2.000000,0.188406,4.148154
375.0000,2.000000,0.191210,4.126867
380.0000,2.000000,0.193967,4.106034
385.0000,2.000000,0.196693,4.085640
390.0000,2.000000,0.199403,4.065671
395.0000,2.000000,0.202122,4.046112
400.0000,2.000000,0.204909,4.026951
405.0000,2.000000,0.207777,4.008176
410.0000,2.000000,0.210545,3.989773
415.0000,2.000000,0.213183,3.971732
420.0000,2.000000,0.215674,3.954040
425.0000,2.000000,0.218078,3.936689
430.0000,2.000000,0.220420,3.919667
435.0000,2.000000,0.222705,3.902965
440.0000,2.000000,0.224935,3.886573
445.0000,2.000000,0.227149,3.870482
450.0000,2.000000,0.229353,3.854685
455.0000,2.000000,0.231555,3.839171
460.0000,2.000000,0.233634,3.823934
465.0000,2.000000,0.235635,3.808966
470.0000,2.000000,0.237552,3.794259
475.0000,2.000000,0.239380,3.779807
480.0000,2.000000,0.241149,3.765602
485.0000,2.000000,0.242855,3.751637
490.0000,2.000000,0.244493,3.737908
495.0000,2.000000,0.246078,3.724406
500.0000,2.000000,0.247606,3.711127
505.0000,2.000000,0.249087,3.698065
510.0000,2.000000,0.250524,3.685214
515.0000,2.000000,0.251911,3.672569
520.0000,2.000000,0.253243,3.660124
525.0000,2.000000,0.254513,3.647876
530.0000,2.000000,0.255725,3.635819
535.0000,2.000000,0.256889,3.623948
540.0000,2.000000,0.257995,3.612259
545.0000,2.000000,0.259056,3.600747
550.0000,2.000000,0.260067,3.589409
555.0000,2.000000,0.261037,3.578241
560.0000,2.000000,0.261965,3.567237
565.0000,2.000000,0.262870,3.556396
570.0000,2.000000,0.263743,3.545712
575.0000,2.000000,0.264565,3.535183
580.0000,2.000000,0.265342,3.524805
585.0000,2.000000,0.266059,3.514574
590.0000,2.000000,0.266734,3.504488
595.0000,2.000000,0.267359,3.494543
600.0000,2.000000,0.267945,3.484736
605.0000,2.000000,0.268489,3.475064
610.0000,2.000000,0.268997,3.465524
615.0000,2.000000,0.269471,3.456114
620.0000,2.000000,0.269915,3.446831
625.0000,2.000000,0.270329,3.437671
630.0000,2.000000,0.270723,3.428633
635.0000,2.000000,0.271099,3.419715
640.0000,2.000000,0.271483,3.410912
645.0000,2.000000,0.271880,3.402224
650.0000,2.000000,0.272327,3.393648
655.0000,2.000000,0.272888,3.385182
660.0000,2.000000,0.273401,3.376823
665.0000,2.000000,0.273831,3.368570
670.0000,2.000000,0.274182,3.360420
675.0000,2.000000,0.274405,3.352372
680.0000,2.000000,0.274563,3.344423
685.0000,2.000000,0.274635,3.336571
690.0000,2.000000,0.274671,3.328815
695.0000,2.000000,0.274628,3.321153
700.0000,2.000000,0.274546,3.313584
705.0000,2.000000,0.274410,3.306104
710.0000,2.000000,0.274223,3.298714
715.0000,2.000000,0.273997,3.291410
720.0000,2.000000,0.273700,3.284192
725.0000,2.000000,0.273381,3.277058
730.0000,2.000000,0.272992,3.270007
735.0000,2.000000,0.272579,3.263037
740.0000,2.000000,0.272130,3.256146
745.0000,2.000000,0.271653,3.249333
750.0000,2.000000,0.271146,3.242597
755.0000,2.000000,0.270610,3.235937
760.0000,2.000000,0.270046,3.229351
765.0000,2.000000,0.269455,3.222838
770.0000,2.000000,0.268838,3.216396
775.0000,2.000000,0.268198,3.210025
780.0000,2.000000,0.267534,3.203723
