PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,2.000000,0.015536,10.096717
55.0000,2.000000,0.017975,9.644664
60.0000,2.000000,0.020923,9.251262
65.0000,2.000000,0.024639,8.904941
70.0000,2.000000,0.028383,8.597092
75.0000,2.000000,0.031906,8.321153
80.0000,2.000000,0.035786,8.072028
85.0000,2.000000,0.039525,7.845691
90.0000,2.000000,0.044576,7.638911
95.0000,2.000000,0.049542,7.449062
100.0000,2.000000,0.054265,7.273988
105.0000,2.000000,0.059168,7.111895
110.0000,2.000000,0.063936,6.961281
115.0000,2.000000,0.068721,6.820874
120.0000,2.000000,0.073536,6.689592
125.0000,2.000000,0.078398,6.566505
130.0000,2.000000,0.083510,6.450812
135.0000,2.000000,0.088427,6.341815
140.0000,2.000000,0.092775,6.238906
145.0000,2.000000,0.096882,6.141551
150.0000,2.000000,0.100345,6.049278
155.0000,2.000000,0.103502,5.961670
160.0000,2.000000,0.105773,5.878356
165.0000,2.000000,0.107299,5.799005
170.0000,2.000000,0.108063,5.723321
175.0000,2.000000,0.107650,5.651036
180.0000,2.000000,0.106863,5.581910
185.0000,2.000000,0.105906,5.515726
190.0000,2.000000,0.104953,5.452287
195.0000,2.000000,0.104157,5.391413
200.0000,2.000000,0.103799,5.332941
205.0000,2.000000,0.103932,5.276722
210.0000,2.000000,0.104501,5.222619
215.0000,2.000000,0.105985,5.170507
220.0000,2.000000,0.107750,5.120270
225.0000,2.000000,0.109471,5.071802
230.0000,2.000000,0.111421,5.025005
235.0000,2.000000,0.113712,4.979789
240.0000,2.000000,0.116061,4.936069
245.0000,2.000000,0.118388,4.893767
250.0000,2.000000,0.120894,4.852812
255.0000,2.000000,0.123535,4.813135
260.0000,2.000000,0.126042,4.774673
265.0000,2.000000,0.128447,4.737370
270.0000,2.000000,0.130780,4.701168
275.0000,2.000000,0.132976,4.666018
280.0000,2.000000,0.133677,4.631871
285.0000,2.000000,0.121745,4.598683
290.0000,2.000000,0.134222,4.566411
295.0000,2.000000,0.139581,4.535014
300.0000,2.000000,0.143953,4.504457
305.0000,2.000000,0.147996,4.474704
310.0000,2.000000,0.151936,4.445721
315.0000,2.000000,0.155771,4.417478
320.0000,2.000000,0.159428,4.389944
325.0000,2.000000,0.162954,4.363092
330.0000,2.000000,0.166413,4.336895
335.0000,2.000000,0.169834,4.311328
340.0000,2.000000,0.173242,4.286368
345.0000,2.000000,0.176676,4.261991
350.0000,2.000000,0.180256,4.238177
355.0000,2.000000,0.183847,4.214906
360.0000,2.000000,0.187307,4.192157
365.0000,2.000000,0.190608,4.169912
370.0000,2.000000,0.193793,4.148154
375.0000,2.000000,0.196911,4.126867
380.0000,2.000000,0.199988,4.106034
385.0000,2.000000,0.203028,4.085640
390.0000,2.000000,0.206039,4.065671
395.0000,2.000000,0.209041,4.046112
400.0000,2.000000,0.212092,4.026951
405.0000,2.000000,0.215194,4.008176
410.0000,2.000000,0.218192,3.989773
415.0000,2.000000,0.221058,3.971732
420.0000,2.000000,0.223782,3.954040
425.0000,2.000000,0.226414,3.936689
430.0000,2.000000,0.228980,3.919667
435.0000,2.000000,0.231486,3.902965
440.0000,2.000000,0.233932,3.886573
445.0000,2.000000,0.236353,3.870482
450.0000,2.000000,0.238757,3.854685
455.0000,2.000000,0.241149,3.839171
460.0000,2.000000,0.243415,3.823934
465.0000,2.000000,0.245604,3.808966
470.0000,2.000000,0.247708,3.794259
475.0000,2.000000,0.249719,3.779807
480.0000,2.000000,0.251672,3.765602
485.0000,2.000000,0.253559,3.751637
490.0000,2.000000,0.255376,3.737908
495.0000,2.000000,0.257139,3.724406
500.0000,2.000000,0.258840,3.711127
505.0000,2.000000,0.260488,3.698065
510.0000,2.000000,0.262090,3.685214
515.0000,2.000000,0.263635,3.672569
520.0000,2.000000,0.265123,3.660124
525.0000,2.000000,0.266545,3.647876
530.0000,2.000000,0.267906,3.635819
535.0000,2.000000,0.269216,3.623948
540.0000,2.000000,0.270463,3.612259
545.0000,2.000000,0.271663,3.600747
550.0000,2.000000,0.272809,3.589409
555.0000,2.000000,0.273909,3.578241
560.0000,2.000000,0.274965,3.567237
565.0000,2.000000,0.275991,3.556396
570.0000,2.000000,0.276981,3.545712
575.0000,2.000000,0.277916,3.535183
580.0000,2.000000,0.278802,3.524805
585.0000,2.000000,0.279626,3.514574
590.0000,2.000000,0.280405,3.504488
595.0000,2.000000,0.281130,3.494543
600.0000,2.000000,0.281814,3.484736
605.0000,2.000000,0.282452,3.475064
610.0000,2.000000,0.283050,3.465524
615.0000,2.000000,0.283610,3.456114
620.0000,2.000000,0.284136,3.446831
625.0000,2.000000,0.284629,3.437671
630.0000,2.000000,0.285096,3.428633
635.0000,2.000000,0.285542,3.419715
640.0000,2.000000,0.285989,3.410912
645.0000,2.000000,0.286444,3.402224
650.0000,2.000000,0.286939,3.393648
655.0000,2.000000,0.287535,3.385182
660.0000,2.000000,0.288079,3.376823
665.0000,2.000000,0.288539,3.368570
670.0000,2.000000,0.288918,3.360420
675.0000,2.000000,0.289171,3.352372
680.0000,2.000000,0.289358,3.344423
685.0000,2.000000,0.289458,3.336571
690.0000,2.000000,0.289519,3.328815
695.0000,2.000000,0.289505,3.321153
700.0000,2.000000,0.289450,3.313584
705.0000,2.000000,0.289346,3.306104
710.0000,2.000000,0.289192,3.298714
715.0000,2.000000,0.289000,3.291410
720.0000,2.000000,0.288738,3.284192
725.0000,2.000000,0.288450,3.277058
730.0000,2.000000,0.288092,3.270007
735.0000,2.000000,0.287705,3.263037
740.0000,2.000000,0.287280,3.256146
745.0000,2.000000,0.286825,3.249333
750.0000,2.000000,0.286336,3.242597
755.0000,2.000000,0.285815,3.235937
760.0000,2.000000,0.285264,3.229351
765.0000,2.000000,0.284683,3.222838
770.0000,2.000000,0.284074,3.216396
775.0000,2.000000,0.283440,3.210025
780.0000,2.000000,0.282779,3.203723
