PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
500.0000,14.176360,0.007407,16.735473
700.0000,9.733520,0.044669,12.284480
900.0000,7.337370,0.101724,9.870041
1100.0000,5.784330,0.168998,8.310914
1300.0000,4.703330,0.237946,7.227287
1500.0000,3.913100,0.303809,6.434131
1700.0000,3.307180,0.371996,5.826432
1900.0000,2.830950,0.427842,5.347685
2100.0000,2.448100,0.479502,4.961197
2300.0000,2.131030,0.523738,4.641171
2500.0000,1.867790,0.552381,4.373386
2700.0000,1.643310,0.593348,4.144752
2900.0000,1.453770,0.614902,3.948757
3100.0000,1.285560,0.639997,3.776467
3300.0000,1.146730,0.649062,3.627590
3500.0000,1.018620,0.670431,3.493542
3700.0000,0.911590,0.651846,3.375550
3900.0000,0.812960,0.680360,3.268380
4100.0000,0.731060,0.682161,3.172826
4300.0000,0.659400,0.671511,3.086044
4500.0000,0.597070,0.603524,3.006872
4700.0000,0.545580,0.614240,2.934753
4900.0000,0.502510,0.555711,2.868476
5100.0000,0.468880,0.468288,2.807605
5300.0000,0.443100,0.348483,2.751347
5500.0000,0.419100,0.216403,2.698338
5700.0000,0.407100,0.038751,2.649860
5900.0000,0.379100,0.036075,2.601401
