PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.000000,0.031269,9.015622
55.0000,4.000000,0.037182,8.679736
60.0000,4.000000,0.044103,8.389646
65.0000,4.000000,0.049367,8.136170
70.0000,4.000000,0.055360,7.912490
75.0000,4.000000,0.065358,7.713423
80.0000,4.000000,0.074761,7.534953
85.0000,4.000000,0.083805,7.373915
90.0000,4.000000,0.093485,7.227775
95.0000,4.000000,0.102486,7.094481
100.0000,4.000000,0.111183,6.972349
105.0000,4.000000,0.119613,6.859985
110.0000,4.000000,0.127979,6.756222
115.0000,4.000000,0.136070,6.660077
120.0000,4.000000,0.143533,6.570714
125.0000,4.000000,0.149455,6.487418
130.0000,4.000000,0.153208,6.409573
135.0000,4.000000,0.155934,6.336645
140.0000,4.000000,0.157859,6.268170
145.0000,4.000000,0.158059,6.203740
150.0000,4.000000,0.157098,6.142998
155.0000,4.000000,0.154699,6.085629
160.0000,4.000000,0.151726,6.031351
165.0000,4.000000,0.147816,5.979916
170.0000,4.000000,0.144029,5.931101
175.0000,4.000000,0.140876,5.884705
180.0000,4.000000,0.138164,5.840550
185.0000,4.000000,0.135815,5.798473
190.0000,4.000000,0.134360,5.758328
195.0000,4.000000,0.132782,5.719982
200.0000,4.000000,0.130241,5.683315
205.0000,4.000000,0.124581,5.648216
210.0000,4.000000,0.123322,5.614586
215.0000,4.000000,0.122862,5.582331
220.0000,4.000000,0.123072,5.551368
225.0000,4.000000,0.123578,5.521620
230.0000,4.000000,0.124088,5.493015
235.0000,4.000000,0.124866,5.465487
240.0000,4.000000,0.126377,5.438976
245.0000,4.000000,0.127287,5.413425
250.0000,4.000000,0.127771,5.388783
255.0000,4.000000,0.128104,5.365000
260.0000,4.000000,0.128413,5.342033
265.0000,4.000000,0.128255,5.319839
270.0000,4.000000,0.127708,5.298380
275.0000,4.000000,0.126883,5.277619
280.0000,4.000000,0.125777,5.257521
285.0000,4.000000,0.124480,5.238056
290.0000,4.000000,0.123048,5.219194
295.0000,4.000000,0.121472,5.200906
300.0000,4.000000,0.119753,5.183166
305.0000,4.000000,0.117884,5.165951
310.0000,4.000000,0.115909,5.149236
315.0000,4.000000,0.113837,5.133000
320.0000,4.000000,0.111665,5.117222
325.0000,4.000000,0.109396,5.101884
330.0000,4.000000,0.107043,5.086966
335.0000,4.000000,0.104616,5.072451
340.0000,4.000000,0.102121,5.058324
345.0000,4.000000,0.099567,5.044569
350.0000,4.000000,0.096963,5.031170
355.0000,4.000000,0.094319,5.018115
360.0000,4.000000,0.091644,5.005390
365.0000,4.000000,0.088949,4.992982
370.0000,4.000000,0.086248,4.980881
375.0000,4.000000,0.083561,4.969074
380.0000,4.000000,0.080919,4.957550
385.0000,4.000000,0.078370,4.946300
390.0000,4.000000,0.075927,4.935314
395.0000,4.000000,0.073585,4.924583
400.0000,4.000000,0.071322,4.914097
405.0000,4.000000,0.069052,4.903849
410.0000,4.000000,0.066672,4.893830
415.0000,4.000000,0.063519,4.884032
420.0000,4.000000,0.060357,4.874449
425.0000,4.000000,0.057187,4.865074
430.0000,4.000000,0.054032,4.855898
435.0000,4.000000,0.050903,4.846918
440.0000,4.000000,0.047808,4.838125
445.0000,4.000000,0.044770,4.829514
450.0000,4.000000,0.041791,4.821080
455.0000,4.000000,0.038874,4.812817
460.0000,4.000000,0.036017,4.804719
465.0000,4.000000,0.033233,4.796783
470.0000,4.000000,0.030529,4.789003
475.0000,4.000000,0.027905,4.781375
480.0000,4.000000,0.025382,4.773893
485.0000,4.000000,0.022964,4.766555
490.0000,4.000000,0.020653,4.759355
495.0000,4.000000,0.018461,4.752290
500.0000,4.000000,0.016390,4.745357
505.0000,4.000000,0.014442,4.738550
510.0000,4.000000,0.012624,4.731868
515.0000,4.000000,0.010926,4.725307
520.0000,4.000000,0.009366,4.718862
525.0000,4.000000,0.007950,4.712532
530.0000,4.000000,0.006687,4.706313
535.0000,4.000000,0.005582,4.700203
540.0000,4.000000,0.004653,4.694197
545.0000,4.000000,0.003878,4.688295
550.0000,4.000000,0.003258,4.682493
555.0000,4.000000,0.002787,4.676788
560.0000,4.000000,0.002458,4.671178
565.0000,4.000000,0.002265,4.665661
570.0000,4.000000,0.002209,4.660235
575.0000,4.000000,0.002290,4.654896
580.0000,4.000000,0.002511,4.649644
585.0000,4.000000,0.002873,4.644476
590.0000,4.000000,0.003377,4.639390
595.0000,4.000000,0.004024,4.634383
600.0000,4.000000,0.004817,4.629455
605.0000,4.000000,0.005764,4.624604
610.0000,4.000000,0.006908,4.619827
615.0000,4.000000,0.007839,4.615122
620.0000,4.000000,0.008944,4.610489
625.0000,4.000000,0.010176,4.605926
630.0000,4.000000,0.011516,4.601431
635.0000,4.000000,0.012955,4.597002
640.0000,4.000000,0.014483,4.592638
645.0000,4.000000,0.016094,4.588338
650.0000,4.000000,0.017774,4.584100
655.0000,4.000000,0.019510,4.579922
660.0000,4.000000,0.021298,4.575805
665.0000,4.000000,0.023118,4.571746
670.0000,4.000000,0.024969,4.567743
675.0000,4.000000,0.026833,4.563797
680.0000,4.000000,0.028711,4.559905
685.0000,4.000000,0.030586,4.556067
690.0000,4.000000,0.032461,4.552282
695.0000,4.000000,0.034314,4.548548
700.0000,4.000000,0.036146,4.544864
705.0000,4.000000,0.037942,4.541229
710.0000,4.000000,0.039693,4.537643
715.0000,4.000000,0.041410,4.534104
720.0000,4.000000,0.043102,4.530612
725.0000,4.000000,0.044745,4.527165
730.0000,4.000000,0.046364,4.523763
735.0000,4.000000,0.047925,4.520405
740.0000,4.000000,0.049440,4.517089
745.0000,4.000000,0.050896,4.513816
750.0000,4.000000,0.052296,4.510584
755.0000,4.000000,0.053639,4.507392
760.0000,4.000000,0.054923,4.504241
765.0000,4.000000,0.056160,4.501128
770.0000,4.000000,0.057344,4.498054
775.0000,4.000000,0.058474,4.495017
780.0000,4.000000,0.059550,4.492017
785.0000,4.000000,0.060523,4.489054
790.0000,4.000000,0.061364,4.486126
795.0000,4.000000,0.062058,4.483233
800.0000,4.000000,0.062608,4.480374
805.0000,4.000000,0.062974,4.477549
810.0000,4.000000,0.063152,4.474757
815.0000,4.000000,0.063373,4.471998
820.0000,4.000000,0.064465,4.469271
825.0000,4.000000,0.065105,4.466575
830.0000,4.000000,0.065541,4.463910
835.0000,4.000000,0.065820,4.461276
840.0000,4.000000,0.065962,4.458671
845.0000,4.000000,0.065976,4.456095
850.0000,4.000000,0.065869,4.453549
855.0000,4.000000,0.065645,4.451031
860.0000,4.000000,0.065311,4.448540
865.0000,4.000000,0.064867,4.446077
870.0000,4.000000,0.064314,4.443641
875.0000,4.000000,0.063663,4.441232
880.0000,4.000000,0.062913,4.438849
885.0000,4.000000,0.062064,4.436491
890.0000,4.000000,0.061134,4.434159
895.0000,4.000000,0.060117,4.431851
900.0000,4.000000,0.059018,4.429568
905.0000,4.000000,0.057850,4.427309
910.0000,4.000000,0.056612,4.425074
915.0000,4.000000,0.055316,4.422862
920.0000,4.000000,0.053960,4.420673
925.0000,4.000000,0.052552,4.418506
930.0000,4.000000,0.051097,4.416362
935.0000,4.000000,0.049597,4.414240
940.0000,4.000000,0.048058,4.412139
945.0000,4.000000,0.046481,4.410060
950.0000,4.000000,0.044880,4.408001
955.0000,4.000000,0.043251,4.405963
960.0000,4.000000,0.041601,4.403945
965.0000,4.000000,0.039936,4.401948
970.0000,4.000000,0.038262,4.399970
975.0000,4.000000,0.036583,4.398011
980.0000,4.000000,0.034900,4.396072
985.0000,4.000000,0.033223,4.394151
990.0000,4.000000,0.031548,4.392250
995.0000,4.000000,0.029884,4.390366
1000.0000,4.000000,0.028224,4.388500
