PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,3.992119,0.026641,9.012117
55.0000,3.807342,0.030406,8.592388
60.0000,3.646055,0.035429,8.226322
65.0000,3.503669,0.038829,7.903382
70.0000,3.376758,0.042074,7.615713
75.0000,3.262709,0.048910,7.357331
80.0000,3.159486,0.055368,7.123580
85.0000,3.065478,0.061176,6.910781
90.0000,2.979392,0.067118,6.715979
95.0000,2.900173,0.072308,6.536774
100.0000,2.826954,0.077045,6.371189
105.0000,2.759015,0.081461,6.217581
110.0000,2.695750,0.085757,6.074574
115.0000,2.636647,0.089848,5.941001
120.0000,2.581267,0.093580,5.815869
125.0000,2.529237,0.096509,5.698325
130.0000,2.480232,0.098335,5.587631
135.0000,2.433968,0.099733,5.483147
140.0000,2.390201,0.100844,5.384314
145.0000,2.348713,0.101230,5.290639
150.0000,2.309313,0.101193,5.201689
155.0000,2.271831,0.100607,5.117080
160.0000,2.236117,0.099887,5.036470
165.0000,2.202036,0.098842,4.959553
170.0000,2.169468,0.097959,4.886056
175.0000,2.138303,0.097488,4.815732
180.0000,2.108443,0.097344,4.748360
185.0000,2.079801,0.097498,4.683739
190.0000,2.052295,0.098250,4.621686
195.0000,2.025852,0.099183,4.562036
200.0000,2.000406,0.100042,4.504638
205.0000,1.975895,0.100871,4.449352
210.0000,1.952263,0.101762,4.396054
215.0000,1.929460,0.102958,4.344626
220.0000,1.907437,0.104520,4.294962
225.0000,1.886152,0.106293,4.246963
230.0000,1.865564,0.108120,4.200539
235.0000,1.845635,0.110147,4.155604
240.0000,1.826332,0.112656,4.112081
245.0000,1.807622,0.114943,4.069897
250.0000,1.789476,0.117064,4.028986
255.0000,1.771865,0.119170,3.989284
260.0000,1.754764,0.121350,3.950733
265.0000,1.738149,0.123350,3.913278
270.0000,1.721998,0.125201,3.876869
275.0000,1.706288,0.126961,3.841458
280.0000,1.691000,0.128621,3.806999
285.0000,1.676117,0.130230,3.773452
290.0000,1.661619,0.131818,3.740776
295.0000,1.647491,0.133380,3.708934
300.0000,1.633718,0.134912,3.677892
305.0000,1.620284,0.136406,3.647617
310.0000,1.607177,0.137885,3.618077
315.0000,1.594382,0.139353,3.589244
320.0000,1.581888,0.140806,3.561088
325.0000,1.569684,0.142240,3.533586
330.0000,1.557757,0.143661,3.506711
335.0000,1.546098,0.145071,3.480439
340.0000,1.534698,0.146472,3.454750
345.0000,1.523546,0.147864,3.429621
350.0000,1.512633,0.149251,3.405033
355.0000,1.501952,0.150635,3.380966
360.0000,1.491493,0.152020,3.357402
365.0000,1.481251,0.153410,3.334324
370.0000,1.471216,0.154812,3.311716
375.0000,1.461382,0.156237,3.289561
380.0000,1.451744,0.157711,3.267845
385.0000,1.442293,0.159281,3.246554
390.0000,1.433025,0.160958,3.225673
395.0000,1.423933,0.162731,3.205190
400.0000,1.415012,0.164557,3.185093
405.0000,1.406256,0.166169,3.165368
410.0000,1.397661,0.167656,3.146006
415.0000,1.389222,0.169042,3.126995
420.0000,1.380934,0.170344,3.108324
425.0000,1.372792,0.171570,3.089984
430.0000,1.364793,0.172743,3.071965
435.0000,1.356932,0.173868,3.054257
440.0000,1.349205,0.174944,3.036852
445.0000,1.341609,0.175998,3.019741
450.0000,1.334139,0.177024,3.002917
455.0000,1.326793,0.178013,2.986370
460.0000,1.319567,0.178947,2.970094
465.0000,1.312458,0.179835,2.954081
470.0000,1.305463,0.180671,2.938324
475.0000,1.298578,0.181435,2.922817
480.0000,1.291801,0.182157,2.907553
485.0000,1.285129,0.182831,2.892525
490.0000,1.278559,0.183443,2.877729
495.0000,1.272089,0.184009,2.863156
500.0000,1.265716,0.184517,2.848804
505.0000,1.259438,0.184947,2.834664
510.0000,1.253253,0.185301,2.820733
515.0000,1.247158,0.185477,2.807006
520.0000,1.241151,0.185534,2.793477
525.0000,1.235230,0.185461,2.780142
530.0000,1.229392,0.185295,2.766996
535.0000,1.223637,0.185107,2.754035
540.0000,1.217962,0.185151,2.741254
545.0000,1.212365,0.185317,2.728649
550.0000,1.206845,0.185726,2.716217
555.0000,1.201399,0.186365,2.703953
560.0000,1.196026,0.187177,2.691854
565.0000,1.190725,0.187989,2.679916
570.0000,1.185494,0.188776,2.668135
575.0000,1.180331,0.189462,2.656508
580.0000,1.175235,0.190095,2.645032
585.0000,1.170204,0.190655,2.633704
590.0000,1.165238,0.191176,2.622519
595.0000,1.160334,0.191627,2.611476
600.0000,1.155491,0.192050,2.600572
605.0000,1.150709,0.192425,2.589803
610.0000,1.145985,0.192774,2.579166
615.0000,1.141320,0.193092,2.568659
620.0000,1.136710,0.193397,2.558280
625.0000,1.132156,0.193687,2.548026
630.0000,1.127657,0.193975,2.537894
635.0000,1.123211,0.194263,2.527882
640.0000,1.118816,0.194543,2.517987
645.0000,1.114473,0.194817,2.508208
650.0000,1.110181,0.195061,2.498542
655.0000,1.105937,0.195254,2.488986
660.0000,1.101742,0.195418,2.479540
665.0000,1.097594,0.195518,2.470200
670.0000,1.093492,0.195584,2.460965
675.0000,1.089437,0.195591,2.451833
680.0000,1.085426,0.195571,2.442802
685.0000,1.081459,0.195502,2.433870
690.0000,1.077535,0.195418,2.425035
695.0000,1.073653,0.195286,2.416295
700.0000,1.069814,0.195134,2.407650
705.0000,1.066015,0.194937,2.399096
710.0000,1.062256,0.194698,2.390633
715.0000,1.058537,0.194452,2.382259
720.0000,1.054857,0.194205,2.373972
725.0000,1.051214,0.193949,2.365772
730.0000,1.047610,0.193713,2.357655
735.0000,1.044042,0.193471,2.349622
740.0000,1.040510,0.193236,2.341670
745.0000,1.037014,0.193000,2.333799
750.0000,1.033552,0.192772,2.326006
755.0000,1.030126,0.192550,2.318291
760.0000,1.026733,0.192342,2.310652
765.0000,1.023373,0.192161,2.303088
770.0000,1.020047,0.192004,2.295598
775.0000,1.016752,0.191888,2.288180
780.0000,1.013489,0.191819,2.280834
785.0000,1.010257,0.191754,2.273558
790.0000,1.007057,0.191679,2.266351
795.0000,1.003886,0.191594,2.259213
800.0000,1.000745,0.191485,2.252141
805.0000,0.997633,0.191334,2.245136
810.0000,0.994551,0.191166,2.238195
815.0000,0.991496,0.190983,2.231319
820.0000,0.988470,0.190775,2.224505
825.0000,0.985471,0.190552,2.217754
830.0000,0.982499,0.190313,2.211063
835.0000,0.979554,0.190061,2.204433
840.0000,0.976635,0.189797,2.197862
845.0000,0.973743,0.189518,2.191350
850.0000,0.970875,0.189229,2.184895
855.0000,0.968033,0.188930,2.178497
860.0000,0.965216,0.188618,2.172154
865.0000,0.962424,0.188295,2.165867
870.0000,0.959655,0.187961,2.159634
875.0000,0.956910,0.187615,2.153454
880.0000,0.954188,0.187258,2.147328
885.0000,0.951490,0.186886,2.141253
890.0000,0.948814,0.186506,2.135229
895.0000,0.946161,0.186118,2.129256
900.0000,0.943530,0.185710,2.123333
905.0000,0.940921,0.185297,2.117459
910.0000,0.938333,0.184880,2.111634
915.0000,0.935767,0.184444,2.105856
920.0000,0.933221,0.184006,2.100126
925.0000,0.930697,0.183561,2.094442
930.0000,0.928192,0.183110,2.088804
935.0000,0.925708,0.182655,2.083211
