PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.000000,0.026686,9.015622
55.0000,4.000000,0.031743,8.679736
60.0000,4.000000,0.038484,8.389646
65.0000,4.000000,0.043678,8.136170
70.0000,4.000000,0.048851,7.912490
75.0000,4.000000,0.058914,7.713423
80.0000,4.000000,0.069030,7.534953
85.0000,4.000000,0.078700,7.373915
90.0000,4.000000,0.088970,7.227775
95.0000,4.000000,0.098414,7.094481
100.0000,4.000000,0.107359,6.972349
105.0000,4.000000,0.115926,6.859985
110.0000,4.000000,0.124391,6.756222
115.0000,4.000000,0.132552,6.660077
120.0000,4.000000,0.140071,6.570714
125.0000,4.000000,0.146042,6.487418
130.0000,4.000000,0.149785,6.409573
135.0000,4.000000,0.152510,6.336645
140.0000,4.000000,0.154432,6.268170
145.0000,4.000000,0.154604,6.203740
150.0000,4.000000,0.153588,6.142998
155.0000,4.000000,0.151115,6.085629
160.0000,4.000000,0.148071,6.031351
165.0000,4.000000,0.144092,5.979916
170.0000,4.000000,0.140233,5.931101
175.0000,4.000000,0.137020,5.884705
180.0000,4.000000,0.134265,5.840550
185.0000,4.000000,0.131878,5.798473
190.0000,4.000000,0.130395,5.758328
195.0000,4.000000,0.128829,5.719982
200.0000,4.000000,0.126330,5.683315
205.0000,4.000000,0.120798,5.648216
210.0000,4.000000,0.119520,5.614586
215.0000,4.000000,0.119031,5.582331
220.0000,4.000000,0.119208,5.551368
225.0000,4.000000,0.119691,5.521620
230.0000,4.000000,0.120184,5.493015
235.0000,4.000000,0.120944,5.465487
240.0000,4.000000,0.122441,5.438976
245.0000,4.000000,0.123377,5.413425
250.0000,4.000000,0.123894,5.388783
255.0000,4.000000,0.124264,5.365000
260.0000,4.000000,0.124620,5.342033
265.0000,4.000000,0.124524,5.319839
270.0000,4.000000,0.124045,5.298380
275.0000,4.000000,0.123292,5.277619
280.0000,4.000000,0.122261,5.257521
285.0000,4.000000,0.121041,5.238056
290.0000,4.000000,0.119686,5.219194
295.0000,4.000000,0.118190,5.200906
300.0000,4.000000,0.116552,5.183166
305.0000,4.000000,0.114766,5.165951
310.0000,4.000000,0.112874,5.149236
315.0000,4.000000,0.110887,5.133000
320.0000,4.000000,0.108800,5.117222
325.0000,4.000000,0.106618,5.101884
330.0000,4.000000,0.104352,5.086966
335.0000,4.000000,0.102012,5.072451
340.0000,4.000000,0.099605,5.058324
345.0000,4.000000,0.097137,5.044569
350.0000,4.000000,0.094621,5.031170
355.0000,4.000000,0.092063,5.018115
360.0000,4.000000,0.089474,5.005390
365.0000,4.000000,0.086865,4.992982
370.0000,4.000000,0.084248,4.980881
375.0000,4.000000,0.081643,4.969074
380.0000,4.000000,0.079082,4.957550
385.0000,4.000000,0.076613,4.946300
390.0000,4.000000,0.074248,4.935314
395.0000,4.000000,0.071983,4.924583
400.0000,4.000000,0.069799,4.914097
405.0000,4.000000,0.067607,4.903849
410.0000,4.000000,0.065305,4.893830
415.0000,4.000000,0.062239,4.884032
420.0000,4.000000,0.059161,4.874449
425.0000,4.000000,0.056073,4.865074
430.0000,4.000000,0.052996,4.855898
435.0000,4.000000,0.049943,4.846918
440.0000,4.000000,0.046920,4.838125
445.0000,4.000000,0.043951,4.829514
450.0000,4.000000,0.041039,4.821080
455.0000,4.000000,0.038186,4.812817
460.0000,4.000000,0.035389,4.804719
465.0000,4.000000,0.032664,4.796783
470.0000,4.000000,0.030015,4.789003
475.0000,4.000000,0.027443,4.781375
480.0000,4.000000,0.024969,4.773893
485.0000,4.000000,0.022596,4.766555
490.0000,4.000000,0.020328,4.759355
495.0000,4.000000,0.018176,4.752290
500.0000,4.000000,0.016142,4.745357
505.0000,4.000000,0.014228,4.738550
510.0000,4.000000,0.012441,4.731868
515.0000,4.000000,0.010770,4.725307
520.0000,4.000000,0.009235,4.718862
525.0000,4.000000,0.007842,4.712532
530.0000,4.000000,0.006598,4.706313
535.0000,4.000000,0.005510,4.700203
540.0000,4.000000,0.004594,4.694197
545.0000,4.000000,0.003831,4.688295
550.0000,4.000000,0.003221,4.682493
555.0000,4.000000,0.002756,4.676788
560.0000,4.000000,0.002432,4.671178
565.0000,4.000000,0.002241,4.665661
570.0000,4.000000,0.002186,4.660235
575.0000,4.000000,0.002265,4.654896
580.0000,4.000000,0.002483,4.649644
585.0000,4.000000,0.002839,4.644476
590.0000,4.000000,0.003335,4.639390
595.0000,4.000000,0.003972,4.634383
600.0000,4.000000,0.004754,4.629455
605.0000,4.000000,0.005688,4.624604
610.0000,4.000000,0.006816,4.619827
615.0000,4.000000,0.007733,4.615122
620.0000,4.000000,0.008822,4.610489
625.0000,4.000000,0.010037,4.605926
630.0000,4.000000,0.011359,4.601431
635.0000,4.000000,0.012778,4.597002
640.0000,4.000000,0.014287,4.592638
645.0000,4.000000,0.015877,4.588338
650.0000,4.000000,0.017536,4.584100
655.0000,4.000000,0.019250,4.579922
660.0000,4.000000,0.021017,4.575805
665.0000,4.000000,0.022814,4.571746
670.0000,4.000000,0.024643,4.567743
675.0000,4.000000,0.026485,4.563797
680.0000,4.000000,0.028340,4.559905
685.0000,4.000000,0.030193,4.556067
690.0000,4.000000,0.032046,4.552282
695.0000,4.000000,0.033877,4.548548
700.0000,4.000000,0.035688,4.544864
705.0000,4.000000,0.037463,4.541229
710.0000,4.000000,0.039194,4.537643
715.0000,4.000000,0.040891,4.534104
720.0000,4.000000,0.042564,4.530612
725.0000,4.000000,0.044188,4.527165
730.0000,4.000000,0.045788,4.523763
735.0000,4.000000,0.047331,4.520405
740.0000,4.000000,0.048830,4.517089
745.0000,4.000000,0.050269,4.513816
750.0000,4.000000,0.051654,4.510584
755.0000,4.000000,0.052982,4.507392
760.0000,4.000000,0.054253,4.504241
765.0000,4.000000,0.055477,4.501128
770.0000,4.000000,0.056649,4.498054
775.0000,4.000000,0.057768,4.495017
780.0000,4.000000,0.058835,4.492017
785.0000,4.000000,0.059799,4.489054
790.0000,4.000000,0.060633,4.486126
795.0000,4.000000,0.061322,4.483233
800.0000,4.000000,0.061868,4.480374
805.0000,4.000000,0.062232,4.477549
810.0000,4.000000,0.062410,4.474757
815.0000,4.000000,0.062630,4.471998
820.0000,4.000000,0.063715,4.469271
825.0000,4.000000,0.064351,4.466575
830.0000,4.000000,0.064786,4.463910
835.0000,4.000000,0.065064,4.461276
840.0000,4.000000,0.065208,4.458671
845.0000,4.000000,0.065224,4.456095
850.0000,4.000000,0.065121,4.453549
855.0000,4.000000,0.064902,4.451031
860.0000,4.000000,0.064574,4.448540
865.0000,4.000000,0.064136,4.446077
870.0000,4.000000,0.063591,4.443641
875.0000,4.000000,0.062949,4.441232
880.0000,4.000000,0.062208,4.438849
885.0000,4.000000,0.061371,4.436491
890.0000,4.000000,0.060452,4.434159
895.0000,4.000000,0.059447,4.431851
900.0000,4.000000,0.058362,4.429568
905.0000,4.000000,0.057207,4.427309
910.0000,4.000000,0.055983,4.425074
915.0000,4.000000,0.054702,4.422862
920.0000,4.000000,0.053361,4.420673
925.0000,4.000000,0.051969,4.418506
930.0000,4.000000,0.050530,4.416362
935.0000,4.000000,0.049047,4.414240
940.0000,4.000000,0.047525,4.412139
945.0000,4.000000,0.045966,4.410060
950.0000,4.000000,0.044383,4.408001
955.0000,4.000000,0.042772,4.405963
960.0000,4.000000,0.041140,4.403945
965.0000,4.000000,0.039493,4.401948
970.0000,4.000000,0.037838,4.399970
975.0000,4.000000,0.036177,4.398011
980.0000,4.000000,0.034513,4.396072
985.0000,4.000000,0.032854,4.394151
990.0000,4.000000,0.031197,4.392250
995.0000,4.000000,0.029551,4.390366
1000.0000,4.000000,0.027909,4.388500
