PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.000000,0.028735,9.015622
55.0000,4.000000,0.033795,8.679736
60.0000,4.000000,0.040495,8.389646
65.0000,4.000000,0.045982,8.136170
70.0000,4.000000,0.051235,7.912490
75.0000,4.000000,0.061093,7.713423
80.0000,4.000000,0.071150,7.534953
85.0000,4.000000,0.080754,7.373915
90.0000,4.000000,0.090890,7.227775
95.0000,4.000000,0.100380,7.094481
100.0000,4.000000,0.109432,6.972349
105.0000,4.000000,0.118078,6.859985
110.0000,4.000000,0.126491,6.756222
115.0000,4.000000,0.134798,6.660077
120.0000,4.000000,0.142524,6.570714
125.0000,4.000000,0.148879,6.487418
130.0000,4.000000,0.153302,6.409573
135.0000,4.000000,0.156780,6.336645
140.0000,4.000000,0.159547,6.268170
145.0000,4.000000,0.160767,6.203740
150.0000,4.000000,0.160885,6.142998
155.0000,4.000000,0.159587,6.085629
160.0000,4.000000,0.157657,6.031351
165.0000,4.000000,0.154742,5.979916
170.0000,4.000000,0.151738,5.931101
175.0000,4.000000,0.148379,5.884705
180.0000,4.000000,0.146038,5.840550
185.0000,4.000000,0.143921,5.798473
190.0000,4.000000,0.142559,5.758328
195.0000,4.000000,0.141025,5.719982
200.0000,4.000000,0.138443,5.683315
205.0000,4.000000,0.132484,5.648216
210.0000,4.000000,0.131110,5.614586
215.0000,4.000000,0.130484,5.582331
220.0000,4.000000,0.130468,5.551368
225.0000,4.000000,0.130724,5.521620
230.0000,4.000000,0.130951,5.493015
235.0000,4.000000,0.131396,5.465487
240.0000,4.000000,0.132528,5.438976
245.0000,4.000000,0.133078,5.413425
250.0000,4.000000,0.133153,5.388783
255.0000,4.000000,0.132991,5.365000
260.0000,4.000000,0.132701,5.342033
265.0000,4.000000,0.131784,5.319839
270.0000,4.000000,0.130204,5.298380
275.0000,4.000000,0.127804,5.277619
280.0000,4.000000,0.123176,5.257521
285.0000,4.000000,0.102101,5.238056
290.0000,4.000000,0.112810,5.219194
295.0000,4.000000,0.114393,5.200906
300.0000,4.000000,0.114527,5.183166
305.0000,4.000000,0.114018,5.165951
310.0000,4.000000,0.113117,5.149236
315.0000,4.000000,0.111927,5.133000
320.0000,4.000000,0.110497,5.117222
325.0000,4.000000,0.108862,5.101884
330.0000,4.000000,0.107053,5.086966
335.0000,4.000000,0.105096,5.072451
340.0000,4.000000,0.103005,5.058324
345.0000,4.000000,0.100799,5.044569
350.0000,4.000000,0.098492,5.031170
355.0000,4.000000,0.096102,5.018115
360.0000,4.000000,0.093641,5.005390
365.0000,4.000000,0.091123,4.992982
370.0000,4.000000,0.088568,4.980881
375.0000,4.000000,0.085999,4.969074
380.0000,4.000000,0.083454,4.957550
385.0000,4.000000,0.080971,4.946300
390.0000,4.000000,0.078562,4.935314
395.0000,4.000000,0.076223,4.924583
400.0000,4.000000,0.073943,4.914097
405.0000,4.000000,0.071666,4.903849
410.0000,4.000000,0.069276,4.893830
415.0000,4.000000,0.066072,4.884032
420.0000,4.000000,0.062853,4.874449
425.0000,4.000000,0.059618,4.865074
430.0000,4.000000,0.056391,4.855898
435.0000,4.000000,0.053183,4.846918
440.0000,4.000000,0.050001,4.838125
445.0000,4.000000,0.046871,4.829514
450.0000,4.000000,0.043794,4.821080
455.0000,4.000000,0.040775,4.812817
460.0000,4.000000,0.037814,4.804719
465.0000,4.000000,0.034924,4.796783
470.0000,4.000000,0.032114,4.789003
475.0000,4.000000,0.029383,4.781375
480.0000,4.000000,0.026754,4.773893
485.0000,4.000000,0.024231,4.766555
490.0000,4.000000,0.021817,4.759355
495.0000,4.000000,0.019524,4.752290
500.0000,4.000000,0.017355,4.745357
505.0000,4.000000,0.015312,4.738550
510.0000,4.000000,0.013404,4.731868
515.0000,4.000000,0.011620,4.725307
520.0000,4.000000,0.009980,4.718862
525.0000,4.000000,0.008490,4.712532
530.0000,4.000000,0.007158,4.706313
535.0000,4.000000,0.005990,4.700203
540.0000,4.000000,0.005004,4.694197
545.0000,4.000000,0.004180,4.688295
550.0000,4.000000,0.003518,4.682493
555.0000,4.000000,0.003014,4.676788
560.0000,4.000000,0.002661,4.671178
565.0000,4.000000,0.002452,4.665661
570.0000,4.000000,0.002391,4.660235
575.0000,4.000000,0.002476,4.654896
580.0000,4.000000,0.002710,4.649644
585.0000,4.000000,0.003094,4.644476
590.0000,4.000000,0.003631,4.639390
595.0000,4.000000,0.004319,4.634383
600.0000,4.000000,0.005165,4.629455
605.0000,4.000000,0.006174,4.624604
610.0000,4.000000,0.007394,4.619827
615.0000,4.000000,0.008381,4.615122
620.0000,4.000000,0.009555,4.610489
625.0000,4.000000,0.010866,4.605926
630.0000,4.000000,0.012291,4.601431
635.0000,4.000000,0.013820,4.597002
640.0000,4.000000,0.015444,4.592638
645.0000,4.000000,0.017155,4.588338
650.0000,4.000000,0.018940,4.584100
655.0000,4.000000,0.020785,4.579922
660.0000,4.000000,0.022684,4.575805
665.0000,4.000000,0.024619,4.571746
670.0000,4.000000,0.026587,4.567743
675.0000,4.000000,0.028570,4.563797
680.0000,4.000000,0.030568,4.559905
685.0000,4.000000,0.032564,4.556067
690.0000,4.000000,0.034561,4.552282
695.0000,4.000000,0.036536,4.548548
700.0000,4.000000,0.038490,4.544864
705.0000,4.000000,0.040409,4.541229
710.0000,4.000000,0.042282,4.537643
715.0000,4.000000,0.044121,4.534104
720.0000,4.000000,0.045933,4.530612
725.0000,4.000000,0.047692,4.527165
730.0000,4.000000,0.049422,4.523763
735.0000,4.000000,0.051090,4.520405
740.0000,4.000000,0.052707,4.517089
745.0000,4.000000,0.054258,4.513816
750.0000,4.000000,0.055749,4.510584
755.0000,4.000000,0.057175,4.507392
760.0000,4.000000,0.058536,4.504241
765.0000,4.000000,0.059841,4.501128
770.0000,4.000000,0.061085,4.498054
775.0000,4.000000,0.062265,4.495017
780.0000,4.000000,0.063381,4.492017
785.0000,4.000000,0.064383,4.489054
790.0000,4.000000,0.065243,4.486126
795.0000,4.000000,0.065946,4.483233
800.0000,4.000000,0.066495,4.480374
805.0000,4.000000,0.066850,4.477549
810.0000,4.000000,0.067005,4.474757
815.0000,4.000000,0.067207,4.471998
820.0000,4.000000,0.068348,4.469271
825.0000,4.000000,0.069003,4.466575
830.0000,4.000000,0.069441,4.463910
835.0000,4.000000,0.069711,4.461276
840.0000,4.000000,0.069836,4.458671
845.0000,4.000000,0.069824,4.456095
850.0000,4.000000,0.069683,4.453549
855.0000,4.000000,0.069418,4.451031
860.0000,4.000000,0.069037,4.448540
865.0000,4.000000,0.068538,4.446077
870.0000,4.000000,0.067926,4.443641
875.0000,4.000000,0.067210,4.441232
880.0000,4.000000,0.066389,4.438849
885.0000,4.000000,0.065465,4.436491
890.0000,4.000000,0.064455,4.434159
895.0000,4.000000,0.063355,4.431851
900.0000,4.000000,0.062169,4.429568
905.0000,4.000000,0.060910,4.427309
910.0000,4.000000,0.059579,4.425074
915.0000,4.000000,0.058188,4.422862
920.0000,4.000000,0.056734,4.420673
925.0000,4.000000,0.055227,4.418506
930.0000,4.000000,0.053671,4.416362
935.0000,4.000000,0.052069,4.414240
940.0000,4.000000,0.050428,4.412139
945.0000,4.000000,0.048749,4.410060
950.0000,4.000000,0.047046,4.408001
955.0000,4.000000,0.045315,4.405963
960.0000,4.000000,0.043564,4.403945
965.0000,4.000000,0.041800,4.401948
970.0000,4.000000,0.040027,4.399970
975.0000,4.000000,0.038251,4.398011
980.0000,4.000000,0.036473,4.396072
985.0000,4.000000,0.034703,4.394151
990.0000,4.000000,0.032936,4.392250
995.0000,4.000000,0.031183,4.390366
1000.0000,4.000000,0.029435,4.388500
