# MLAG Simulation Data
# Generated with MLAG.m
#
# === GRATING PARAMETERS ===
# grating_period_lpermm: 400.0
# diffraction_order: 1
# grating_width_to_period_ratio: 0.67
# grating_depth_nm: 14.9
# trapezoid_angle_left_deg: 75.0
# trapezoid_angle_right_deg: 75.0
# substrate_material: Si
#
# === LAYER CONFIGURATION ===
# active_layers: 2
# layer1_material: Pt
# layer1_Thickness_nm: 28.77
# layer2_material: CO
# layer2_Thickness_nm: 10.00
# layer3_material: Cr
# layer3_Thickness_nm: 0.00
#
# === SIMULATION PARAMETERS ===
# z_resolution_nm: 0.0500
# x_resolution_nm: 0.0500
# fourier_orders: 25
# polarization: TM (-1)
# grazing_angle_deg: 4.0
# photon_energy_min_eV: 100.0
# photon_energy_max_eV: 500.0
# photon_energy_step_eV: 20.0
#
# photon_energy_eV;diffraction_efficiency
100.0000;0.11463936
120.0000;0.14901252
140.0000;0.17787883
160.0000;0.19610670
180.0000;0.20552203
200.0000;0.21081410
220.0000;0.24036422
240.0000;0.17018193
260.0000;0.11586405
280.0000;0.06954077
300.0000;0.03130033
320.0000;0.02336688
340.0000;0.02027795
360.0000;0.02278090
380.0000;0.03017133
400.0000;0.04125550
420.0000;0.16879307
440.0000;0.14964598
460.0000;0.12931779
480.0000;0.10787662
500.0000;0.08604188
