 Cr Density=7.19
 Energy(eV), Delta, Beta
 500.  0.00217012176  0.000502718613
  512.5802  0.00187927694  0.00045995746
  525.476868  0.00154308882  0.000423657562
  538.698059  0.00112843129  0.000394564675
  552.251953  0.000511903141  0.000361312414
  566.14679 -0.000982881524  0.000336031866
  580.391296  0.000179659371  0.00261526555
  594.994141  0.00260590622  0.00283377129
  609.964417  0.00212133769  0.00219193823
  625.311401  0.00191135891  0.00197111
  641.044434  0.00196439819  0.002017844
  657.17334  0.00192561478  0.00178760802
  673.708069  0.00190652756  0.00163392781
  690.658813  0.00173899811  0.00169030996
  708.036072  0.00186727138  0.00164656097
  725.850525  0.00188392284  0.00147620321
  744.11322  0.00181767356  0.00141030923
  762.835388  0.00184629369  0.00135922397
  782.028625  0.00185209489  0.00120657531
  801.704712  0.00177238777  0.00108524656
  821.875916  0.00168881926  0.00101411832
  842.554626  0.00164562766  0.000968005625
  863.753601  0.0016145393  0.000885596091
  885.486023  0.00156744011  0.000810206577
  907.765137  0.00151475111  0.000741231139
  930.604858  0.00145924138  0.000678632874
  954.019226  0.00140373339  0.000622136286
  978.022705  0.00134862703  0.000570356497
  1002.63013  0.00129423756  0.000522886869
  1027.85669  0.00124085078  0.000479365117
  1053.71802  0.00118857564  0.000439472351
  1080.22986  0.00113770063  0.000402896665
  1107.40894  0.00108822284  0.000369361776
  1135.27173  0.00104030804  0.000338623737
  1163.83557  0.000993971829  0.000310439704
  1193.11804  0.000949245412  0.000284603069
  1223.13733  0.000906169065  0.000260915607
  1253.91199  0.00086469925  0.000239201894
  1285.46094  0.000824869901  0.000219292298
  1317.80359  0.000786633056  0.000201041417
  1350.95996  0.000749981205  0.000184309087
  1384.95081  0.000714879308  0.000168969331
  1419.79663  0.000681289646  0.000154906695
  1455.51917  0.00064923492  0.000142014062
  1492.14062  0.000618705293  0.000130124696
  1529.68347  0.00058949081  0.000118898803
  1568.1709  0.000561344321  0.000108571185
  1607.62671  0.000534371764  9.91413326E-05
  1648.07507  0.000508576632  9.05300039E-05
  1689.54138  0.000483924581  8.26668256E-05
  1732.05078  0.000460394542  7.54859066E-05
  1775.62988  0.000437943789  6.89294029E-05
  1820.3053  0.000416537368  6.29426504E-05
  1866.10498  0.000396136253  5.74754085E-05
  1913.05688  0.000376697833  5.2483374E-05
  1961.19006  0.000358187623  4.79248629E-05
  2010.5343  0.000340564526  4.37621202E-05
  2061.12036  0.000323808257  3.99611235E-05
  2112.97876  0.000307870097  3.64595508E-05
  2166.14209  0.000292676792  3.32279851E-05
  2220.64307  0.000278197607  3.02821772E-05
  2276.51514  0.00026441089  2.75976508E-05
  2333.79321  0.000251291931  2.5151001E-05
  2392.51221  0.0002388094  2.29213274E-05
  2452.70898  0.000226936463  2.08893398E-05
  2514.41992  0.000215644293  1.90373685E-05
  2577.68359  0.000204906508  1.73497465E-05
  2642.53931  0.00019469652  1.58115872E-05
  2709.02661  0.000184990087  1.44099804E-05
  2777.18652  0.000175762121  1.31325369E-05
  2847.06152  0.000166989848  1.19683127E-05
  2918.69482  0.000158651048  1.09073135E-05
  2992.13037  0.000150724707  9.94044967E-06
  3067.41333  0.000143190351  9.05920479E-06
  3144.59058  0.000136028742  8.25611824E-06
  3223.70972  0.000129221153  7.52427877E-06
  3304.81958  0.000122750251  6.85726354E-06
  3387.96997  0.000116599324  6.24940185E-06
  3473.21265  0.000110751789  5.69542772E-06
  3560.6001  0.000105192899  5.19056812E-06
  3650.18604  9.99077674E-05  4.73045839E-06
  3742.02612  9.48827292E-05  4.31114449E-06
  3836.17676  9.01037347E-05  3.92902029E-06
  3932.69653  8.55585531E-05  3.58075067E-06
  4031.64478  8.12351427E-05  3.2633784E-06
  4133.08252  7.71215491E-05  2.97412316E-06
  4237.07227  7.32068074E-05  2.71052568E-06
  4343.67871  6.94789051E-05  2.47027697E-06
  4452.96729  6.59290745E-05  2.25134681E-06
  4565.00586  6.25450775E-05  2.05181686E-06
  4679.86279  5.93179866E-05  1.86997897E-06
  4797.60986  5.6236815E-05  1.70426358E-06
  4918.31982  5.32897357E-05  1.55323755E-06
  5042.06641  5.04677737E-05  1.41560258E-06
  5168.92676  4.7751375E-05  1.29016257E-06
  5298.979  4.51300039E-05  1.17584693E-06
  5432.30322  4.25709841E-05  1.07166636E-06
  5568.98193  4.00345489E-05  9.76719662E-07
  5709.09961  3.74315932E-05  8.90192041E-07
  5852.74268  3.43516549E-05  8.11334587E-07
  6000. -5.19146306E-05  6.11563337E-06
