Energy[eV];Delta;Beta
29,9985482700218;0,11605;0,1665
30,0133298458637;0,11602;0,16632
30,0281259959241;0,116;0,16613
30,0429367417684;0,11597;0,16595
30,0577621050044;0,11594;0,16576
30,0726021072826;0,11591;0,16557
30,0874567702963;0,11588;0,16539
30,1023261157817;0,11586;0,1652
30,117210165518;0,11583;0,16502
30,1321089413275;0,1158;0,16483
30,1470224650756;0,11577;0,16465
30,1619507586712;0,11574;0,16446
30,1768938440663;0,11571;0,16427
30,1918517432568;0,11569;0,16409
30,2068244782821;0,11566;0,1639
30,2218120712251;0,11563;0,16372
30,2368145442129;0,1156;0,16353
30,2518319194164;0,11557;0,16334
30,2668642190506;0,11554;0,16316
30,2819114653745;0,11551;0,16298
30,2969736806917;0,11548;0,1628
30,31205088735;0,11544;0,16262
30,3271431077417;0,11541;0,16244
30,3422503643038;0,11538;0,16226
30,3573726795179;0,11534;0,16207
30,3725100759107;0,11531;0,16189
30,3876625760536;0,11528;0,16171
30,4028302025631;0,11524;0,16153
30,418012978101;0,11521;0,16135
30,4332109253743;0,11518;0,16117
30,4484240671354;0,11515;0,16099
30,4636524261823;0,11511;0,1608
30,4788960253585;0,11508;0,16062
30,4941548875533;0,11505;0,16044
30,509429035702;0,11501;0,16026
30,5247184927856;0,11498;0,16008
30,5400232818315;0,11495;0,1599
30,555343425913;0,11492;0,15972
30,5706789481499;0,11488;0,15954
30,5860298717085;0,11485;0,15935
30,6013962198015;0,11482;0,15917
30,6167780156883;0,11478;0,15899
30,6321752826752;0,11475;0,15881
30,6475880441153;0,11472;0,15863
30,6630163234087;0,11469;0,15845
30,6784601440027;0,11465;0,15827
30,6939195293919;0,11462;0,15808
30,7093945031183;0,11459;0,1579
30,7248850887712;0,11455;0,15772
30,7403913099877;0,11452;0,15754
30,7559131904527;0,11449;0,15736
30,7714507538988;0,11445;0,15719
30,7870040241066;0,11441;0,15701
30,8025730249049;0,11438;0,15683
30,8181577801706;0,11434;0,15665
30,8337583138291;0,1143;0,15648
30,8493746498542;0,11427;0,1563
30,8650068122683;0,11423;0,15612
30,8806548251424;0,1142;0,15595
30,8963187125965;0,11416;0,15577
30,9119984987994;0,11412;0,15559
30,9276942079693;0,11409;0,15541
30,9434058643732;0,11405;0,15524
30,9591334923277;0,11402;0,15506
30,9748771161989;0,11398;0,15488
30,9906367604023;0,11394;0,15471
31,0064124494031;0,11391;0,15453
31,0222042077166;0,11387;0,15435
31,0380120599079;0,11383;0,15418
31,0538360305922;0,1138;0,154
31,0696761444348;0,11376;0,15382
31,0855324261517;0,11373;0,15364
31,101404900509;0,11369;0,15347
31,1172935923236;0,11365;0,15329
31,1331985264632;0,11362;0,15311
31,1491197278462;0,11358;0,15294
31,1650572214421;0,11354;0,15276
31,1810110322715;0,11351;0,15258
31,1969811854062;0,11347;0,1524
31,2129677059696;0,11344;0,15223
31,2289706191364;0,1134;0,15205
31,2449899501331;0,11336;0,15187
31,2610257242378;0,11332;0,1517
31,2770779667807;0,11328;0,15153
31,293146703144;0,11325;0,15136
31,3092319587622;0,11321;0,15118
31,3253337591218;0,11317;0,15101
31,3414521297621;0,11313;0,15084
31,3575870962748;0,11309;0,15066
31,3737386843044;0,11305;0,15049
31,3899069195483;0,11301;0,15032
31,4060918277568;0,11297;0,15015
31,4222934347333;0,11293;0,14997
31,4385117663347;0,1129;0,1498
31,454746848471;0,11286;0,14963
31,4709987071061;0,11282;0,14945
31,4872673682572;0,11278;0,14928
31,5035528579957;0,11274;0,14911
31,5198552024467;0,1127;0,14894
31,5361744277895;0,11266;0,14876
31,5525105602576;0,11262;0,14859
31,568863626139;0,11258;0,14842
31,5852336517761;0,11254;0,14824
31,6016206635661;0,11251;0,14807
31,6180246879608;0,11247;0,1479
31,6344457514672;0,11243;0,14773
31,6508838806472;0,11239;0,14755
31,667339102118;0,11235;0,14738
31,6838114425523;0,11231;0,14721
31,7003009286781;0,11227;0,14703
31,7168075872792;0,11223;0,14686
31,7333314451953;0,11219;0,14669
31,749872529322;0,11216;0,14652
31,7664308666108;0,11211;0,14635
31,7830064840697;0,11207;0,14618
31,799599408763;0,11203;0,14601
31,8162096678117;0,11199;0,14584
31,8328372883932;0,11195;0,14567
31,8494822977421;0,11191;0,1455
31,8661447231496;0,11187;0,14533
31,8828245919645;0,11183;0,14517
31,8995219315923;0,11178;0,145
31,9162367694966;0,11174;0,14483
31,9329691331981;0,1117;0,14466
31,9497190502754;0,11166;0,14449
31,9664865483651;0,11162;0,14432
31,9832716551617;0,11158;0,14415
32,0000743984179;0,11154;0,14398
32,0168948059449;0,1115;0,14381
32,0337329056122;0,11145;0,14365
32,0505887253482;0,11141;0,14348
32,0674622931399;0,11137;0,14331
32,0843536370333;0,11133;0,14314
32,1012627851337;0,11129;0,14297
32,1181897656054;0,11125;0,1428
32,1351346066723;0,11121;0,14263
32,152097336618;0,11117;0,14246
32,1690779837857;0,11112;0,1423
32,1860765765784;0,11108;0,14213
32,2030931434595;0,11104;0,14196
32,2201277129522;0,111;0,14179
32,2371803136405;0,11096;0,14162
32,2542509741687;0,11092;0,14145
32,2713397232419;0,11088;0,14129
32,2884465896259;0,11083;0,14112
32,3055716021477;0,11079;0,14096
32,3227147896955;0,11075;0,14079
32,3398761812188;0,1107;0,14063
32,3570558057285;0,11066;0,14046
32,3742536922974;0,11062;0,1403
32,39146987006;0,11057;0,14013
32,4087043682128;0,11053;0,13997
32,4259572160145;0,11049;0,1398
32,4432284427862;0,11044;0,13964
32,4605180779114;0,1104;0,13947
32,4778261508363;0,11036;0,13931
32,49515269107;0,11032;0,13914
32,5124977281845;0,11027;0,13898
32,5298612918151;0,11023;0,13881
32,5472434116603;0,11019;0,13865
32,5646441174822;0,11014;0,13848
32,5820634391066;0,1101;0,13832
32,599501406423;0,11006;0,13815
32,6169580493852;0,11001;0,13799
32,6344333980109;0,10997;0,13782
32,6519274823824;0,10993;0,13766
32,6694403326463;0,10988;0,13749
32,6869719790142;0,10984;0,13733
32,7045224517623;0,1098;0,13716
32,722091781232;0,10976;0,137
32,73967999783;0,10971;0,13683
32,7572871320283;0,10967;0,13667
32,7749132143645;0,10963;0,1365
32,792558275442;0,10958;0,13634
32,8102223459301;0,10954;0,13618
32,8279054565643;0,10949;0,13602
32,8456076381462;0,10945;0,13586
32,8633289215442;0,1094;0,1357
32,881069337693;0,10936;0,13554
32,8988289175943;0,10931;0,13537
32,9166076923169;0,10927;0,13521
32,9344056929966;0,10923;0,13505
32,9522229508367;0,10918;0,13489
32,9700594971082;0,10914;0,13473
32,9879153631495;0,10909;0,13457
33,0057905803672;0,10905;0,13441
33,0236851802358;0,109;0,13425
33,0415991942984;0,10896;0,13409
33,0595326541662;0,10891;0,13393
33,0774855915194;0,10887;0,13376
33,0954580381069;0,10882;0,1336
33,1134500257466;0,10878;0,13344
33,1314615863257;0,10873;0,13328
33,1494927518007;0,10869;0,13312
33,167543554198;0,10865;0,13296
33,1856140256135;0,1086;0,1328
33,2037041982131;0,10856;0,13264
33,2218141042331;0,10851;0,13248
33,2399437759799;0,10847;0,13231
33,2580932458306;0,10842;0,13215
33,2762625462331;0,10838;0,13199
33,2944517097062;0,10833;0,13183
33,3126607688397;0,10829;0,13167
33,3308897562949;0,10824;0,13151
33,3491387048047;0,1082;0,13136
33,3674076471734;0,10815;0,1312
33,3856966162776;0,10811;0,13104
33,4040056450657;0,10806;0,13088
33,4223347665587;0,10801;0,13073
33,44068401385;0,10797;0,13057
33,4590534201055;0,10792;0,13041
33,4774430185644;0,10788;0,13025
33,4958528425387;0,10783;0,1301
33,514282925414;0,10779;0,12994
33,5327333006491;0,10774;0,12978
33,5512040017767;0,1077;0,12962
33,5696950624034;0,10765;0,12947
33,58820651621;0,1076;0,12931
33,6067383969516;0,10756;0,12915
