Energy	cff = 2.25	alpha = 2 deg	alpha = 4 deg	cff = 2.25	cff = 2.25
eV					
	1 order	1 order	1 order	2 order	3 order
30	0.02153457081	0.008334779539	0.01664784613	0.00559	6.06157E-4
35	0.02572425577	0.01070943625	0.02147680641	0.00654	7.92726E-4
40	0.0283493775	0.01274222976	0.02538942695	0.0069	8.93159E-4
45	0.02968726021	0.01439146343	0.02826007097	0.00685	9.18312E-4
50	0.03147013429	0.01624371802	0.03152815257	0.00692	9.78843E-4
55	0.03568209657	0.01919954576	0.03741288769	0.00771	0.00121
60	0.04042700326	0.02255656018	0.04424043437	0.00861	0.0015
65	0.04356419144	0.02533018698	0.0495049228	0.00902	0.00167
70	0.04716352321	0.02843465989	0.05551131943	0.00952	0.0019
75	0.05339788544	0.03301936501	0.06526992365	0.0107	0.00238
80	0.05881194602	0.03737685016	0.07441790729	0.01169	0.00279
85	0.06370260846	0.04163014375	0.08320232832	0.01251	0.00317
90	0.06875864039	0.04613574869	0.09257366846	0.01334	0.0036
95	0.07322947246	0.05045721127	0.1013058067	0.01395	0.00401
100	0.07745151599	0.0547624989	0.1098365711	0.0144	0.00444
105	0.08149836586	0.05907712658	0.1182253268	0.01474	0.00488
110	0.08551003278	0.06347909036	0.1266689221	0.015	0.00534
115	0.08941471225	0.06791414459	0.1349958425	0.0152	0.00581
120	0.09307581316	0.07227809438	0.1428993341	0.01535	0.00624
125	0.09607644279	0.07624649988	0.1494694424	0.01541	0.00659
130	0.09806710097	0.07950925156	0.1539585215	0.01535	0.0068
135	0.09960447733	0.0824312183	0.1573896495	0.01524	0.00694
140	0.100801971	0.08507587907	0.1599517706	0.0151	0.00703
145	0.101291976	0.08712453815	0.1607890154	0.01487	0.007
150	0.1013809687	0.08879527227	0.1604814605	0.01461	0.00687
155	0.100945583	0.08996886242	0.1587712836	0.01426	0.00667
160	0.100399674	0.09096295022	0.1564931261	0.01398	0.00642
165	0.0995293538	0.09158281573	0.1532434522	0.01354	0.00616
170	0.0988297082	0.09225591284	0.1501537107	0.01317	0.00588
175	0.09850691042	0.09317912303	0.1476674102	0.01289	0.00581
180	0.09843803411	0.09431241755	0.1455630434	0.01263	0.00564
185	0.0986692449	0.09563013129	0.1438686208	0.01241	0.00556
190	0.09944181619	0.09742889076	0.1431193729	0.01235	0.00552
195	0.1003540334	0.09936900516	0.1423657458	0.01215	0.00559
200	0.1011901316	0.1011754902	0.1408447	0.01208	0.00574
205	0.1019861824	0.1029220521	0.1368065929	0.01185	0.00568
210	0.1028458939	0.1046785079	0.1359768514	0.0121	0.00578
215	0.1039481709	0.1067129968	0.1357820461	0.01193	0.00581
220	0.1054331163	0.1091272986	0.136399893	0.01167	0.00583
225	0.10709209	0.1116687586	0.1371954958	0.01184	0.00586
230	0.108789743	0.1142784542	0.1380396831	0.01194	0.00608
235	0.1106649692	0.1170868593	0.1391481011	0.01199	0.0063
240	0.1129725219	0.1203779847	0.1410103866	0.01184	0.00669
245	0.1150510588	0.1234330738	0.1422536236	0.01215	0.00692
250	0.1170121861	0.1263160926	0.1430561957	0.01204	0.00697
255	0.1189338607	0.1291972833	0.1436787955	0.01221	0.00735
