# SLAG Simulation Data
# Generated with Example_SLAG_save_data.m
#
# === GRATING PARAMETERS ===
# grating_period_lpermm: 400.0
# diffraction_order: 1
# grating_width_to_period_ratio: 0.67
# grating_depth_nm: 14.9
# trapezoid_angle_left_deg: 15.0
# trapezoid_angle_right_deg: 15.0
# substrate_material: Si
# substrate_density: 2.330
#
# === LAYER PARAMETERS ===
# layer_material: Pt
# layer_thickness_nm: 28.8
# layer_density: 19.245
#
# === SIMULATION PARAMETERS ===
# z_resolution_nm: 0.1
# x_resolution_nm: 1.0
# fourier_orders: 5
#
# === INCIDENCE CONDITIONS ===
# grazing_angle_deg: 4.0
# photon_energy_min_eV: 50.0
# photon_energy_max_eV: 650.0
# photon_energy_step_eV: 5.0
# polarization:
#
# === DATA COLUMNS ===
# Column 1: photon_energy_eV
# Column 2: diffraction_efficiency
#
# photon_energy_eV;diffraction_efficiency
50.0000;0.01719445
55.0000;0.01991461
60.0000;0.02357738
65.0000;0.02627420
70.0000;0.02875917
75.0000;0.03392595
80.0000;0.03917123
85.0000;0.04417993
90.0000;0.04949190
95.0000;0.05449480
100.0000;0.05924823
105.0000;0.06386425
110.0000;0.06854759
115.0000;0.07325542
120.0000;0.07786584
125.0000;0.08193932
130.0000;0.08475170
135.0000;0.08696793
140.0000;0.08865283
145.0000;0.08923059
150.0000;0.08900277
155.0000;0.08789444
160.0000;0.08651083
165.0000;0.08464195
170.0000;0.08292537
175.0000;0.08173568
180.0000;0.08095880
185.0000;0.08052578
190.0000;0.08094840
195.0000;0.08169156
200.0000;0.08273564
205.0000;0.08392881
210.0000;0.08250815
215.0000;0.08177199
220.0000;0.08150379
225.0000;0.08150422
230.0000;0.08155569
235.0000;0.08182455
240.0000;0.08261853
245.0000;0.08315279
250.0000;0.08343219
255.0000;0.08363790
260.0000;0.08392202
265.0000;0.08395051
270.0000;0.08374028
275.0000;0.08334171
280.0000;0.08283987
285.0000;0.08219917
290.0000;0.08150696
295.0000;0.08075187
300.0000;0.07988149
305.0000;0.07894431
310.0000;0.07800283
315.0000;0.07693834
320.0000;0.07586927
325.0000;0.07474676
330.0000;0.07355917
335.0000;0.07230344
340.0000;0.07098962
345.0000;0.06969505
350.0000;0.06834685
355.0000;0.06694701
360.0000;0.06557176
365.0000;0.06415759
370.0000;0.06269593
375.0000;0.06127122
380.0000;0.05981453
385.0000;0.05841590
390.0000;0.05712603
395.0000;0.05584066
400.0000;0.05453280
405.0000;0.05320029
410.0000;0.05079863
415.0000;0.04847411
420.0000;0.04623367
425.0000;0.04408050
430.0000;0.04192076
435.0000;0.03979678
440.0000;0.03771429
445.0000;0.03567742
450.0000;0.03367386
455.0000;0.03169665
460.0000;0.02976465
465.0000;0.02784728
470.0000;0.02597560
475.0000;0.02419026
480.0000;0.02243158
485.0000;0.02072659
490.0000;0.01909062
495.0000;0.01750417
500.0000;0.01598192
505.0000;0.01453696
510.0000;0.01314463
515.0000;0.01181326
520.0000;0.01055187
525.0000;0.00936399
530.0000;0.00825331
535.0000;0.00723585
540.0000;0.00632697
545.0000;0.00553607
550.0000;0.00483688
555.0000;0.00423534
560.0000;0.00372513
565.0000;0.00329031
570.0000;0.00292872
575.0000;0.00264431
580.0000;0.00242685
585.0000;0.00228072
590.0000;0.00221784
595.0000;0.00222653
600.0000;0.00231626
605.0000;0.00248948
610.0000;0.00275061
615.0000;0.00323047
620.0000;0.00372040
625.0000;0.00426758
630.0000;0.00486095
635.0000;0.00552499
640.0000;0.00625514
645.0000;0.00704532
650.0000;0.00786884
