# SLAG Simulation Data
# Generated with Example_SLAG_save_data.m
#
# === GRATING PARAMETERS ===
# grating_period_lpermm: 400.0
# diffraction_order: 1
# grating_width_to_period_ratio: 0.33
# grating_depth_nm: 14.9
# trapezoid_angle_left_deg: 15.0
# trapezoid_angle_right_deg: 15.0
# substrate_material: Si
# substrate_density: 2.330
#
# === LAYER PARAMETERS ===
# layer_material: Pt
# layer_thickness_nm: 28.8
# layer_density: 20.132
#
# === SIMULATION PARAMETERS ===
# z_resolution_nm: 0.1
# x_resolution_nm: 1.0
# fourier_orders: 9
#
# === INCIDENCE CONDITIONS ===
# grazing_angle_deg: 4.0
# photon_energy_min_eV: 60.0
# photon_energy_max_eV: 650.0
# photon_energy_step_eV: 10.0
# polarization: -1.0
#
# === DATA COLUMNS ===
# Column 1: photon_energy_eV
# Column 2: diffraction_efficiency
#
# photon_energy_eV;diffraction_efficiency
60.0000;0.04483235
70.0000;0.05647651
80.0000;0.07950506
90.0000;0.10200423
100.0000;0.12268737
110.0000;0.14209423
120.0000;0.16085294
130.0000;0.17385677
140.0000;0.18056087
150.0000;0.17964232
160.0000;0.17235929
170.0000;0.16218819
180.0000;0.15472814
190.0000;0.15033752
200.0000;0.14681071
210.0000;0.14023417
220.0000;0.13923828
230.0000;0.13986110
240.0000;0.14208230
250.0000;0.14339905
260.0000;0.14383281
270.0000;0.14275400
280.0000;0.14014492
290.0000;0.13658670
300.0000;0.13236858
310.0000;0.12744312
320.0000;0.12208463
330.0000;0.11634124
340.0000;0.11021696
350.0000;0.10384207
360.0000;0.09730599
370.0000;0.09070842
380.0000;0.08422157
390.0000;0.07805230
400.0000;0.07228388
410.0000;0.06670522
420.0000;0.06009314
430.0000;0.05325970
440.0000;0.04652178
450.0000;0.03997354
460.0000;0.03371692
470.0000;0.02785617
480.0000;0.02243953
490.0000;0.01754999
500.0000;0.01325604
510.0000;0.00960071
520.0000;0.00657282
530.0000;0.00424997
540.0000;0.00265080
550.0000;0.00175587
560.0000;0.00149375
570.0000;0.00184540
580.0000;0.00281283
590.0000;0.00439528
600.0000;0.00660934
610.0000;0.00966540
620.0000;0.01310866
630.0000;0.01674443
640.0000;0.02080712
650.0000;0.02513081
