PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,85.117790,0.036086,11.039870
55.0000,85.343143,0.039714,10.525498
60.0000,85.539922,0.044598,10.076914
65.0000,85.713695,0.051311,9.681194
70.0000,85.868623,0.057503,9.328708
75.0000,86.007881,0.062562,9.012117
80.0000,86.133945,0.068212,8.725715
85.0000,86.248774,0.073209,8.464991
90.0000,86.353945,0.081161,8.226322
95.0000,86.450739,0.088389,8.006767
100.0000,86.540211,0.094611,7.803901
105.0000,86.623242,0.100979,7.615713
110.0000,86.700568,0.106821,7.440514
115.0000,86.772815,0.112295,7.276876
120.0000,86.840514,0.117580,7.123580
125.0000,86.904124,0.122736,6.979581
130.0000,86.964041,0.128185,6.843976
135.0000,87.020608,0.133068,6.715979
140.0000,87.074127,0.136727,6.594906
145.0000,87.124862,0.139807,6.480153
150.0000,87.173046,0.141629,6.371189
155.0000,87.218886,0.142962,6.267543
160.0000,87.262565,0.142821,6.168796
165.0000,87.304250,0.141474,6.074574
170.0000,87.344086,0.139034,5.984542
175.0000,87.382207,0.134823,5.898398
180.0000,87.418733,0.130508,5.815869
185.0000,87.453771,0.126230,5.736711
190.0000,87.487419,0.122219,5.660699
195.0000,87.519768,0.118779,5.587631
200.0000,87.550899,0.116143,5.517321
205.0000,87.580887,0.114413,5.449601
210.0000,87.609799,0.113412,5.384314
215.0000,87.637699,0.113726,5.321319
220.0000,87.664644,0.114464,5.260484
225.0000,87.690687,0.115221,5.201689
230.0000,87.715879,0.116290,5.144823
235.0000,87.740263,0.117835,5.089782
240.0000,87.763883,0.119487,5.036470
245.0000,87.786777,0.121165,4.984799
250.0000,87.808982,0.123099,4.934687
255.0000,87.830532,0.125252,4.886056
260.0000,87.851459,0.127351,4.838835
265.0000,87.871791,0.129477,4.792957
270.0000,87.891557,0.131756,4.748360
275.0000,87.910782,0.134337,4.704985
280.0000,87.929490,0.136920,4.662778
285.0000,87.947705,0.139233,4.621686
290.0000,87.965448,0.141437,4.581662
295.0000,87.982738,0.143599,4.542660
300.0000,87.999594,0.145767,4.504638
305.0000,88.016035,0.147953,4.467554
310.0000,88.032078,0.150232,4.431372
315.0000,88.047737,0.152530,4.396054
320.0000,88.063028,0.154745,4.361568
325.0000,88.077966,0.156884,4.327881
330.0000,88.092563,0.158992,4.294962
335.0000,88.106832,0.161113,4.262784
340.0000,88.120786,0.163238,4.231318
345.0000,88.134436,0.165441,4.200539
350.0000,88.147793,0.167786,4.170421
355.0000,88.160867,0.170186,4.140943
360.0000,88.173668,0.172471,4.112081
365.0000,88.186205,0.174606,4.083814
370.0000,88.198488,0.176650,4.056122
375.0000,88.210524,0.178630,4.028986
380.0000,88.222322,0.180570,4.002387
385.0000,88.233890,0.182487,3.976308
390.0000,88.245236,0.184391,3.950733
395.0000,88.256365,0.186316,3.925645
400.0000,88.267285,0.188296,3.901028
405.0000,88.278002,0.190335,3.876869
410.0000,88.288523,0.192302,3.853154
415.0000,88.298854,0.194158,3.829868
420.0000,88.309000,0.195893,3.806999
425.0000,88.318966,0.197574,3.784536
430.0000,88.328758,0.199205,3.762465
435.0000,88.338381,0.200794,3.740776
440.0000,88.347840,0.202347,3.719458
445.0000,88.357138,0.203899,3.698500
450.0000,88.366282,0.205445,3.677892
455.0000,88.375275,0.206989,3.657626
460.0000,88.384121,0.208463,3.637690
465.0000,88.392823,0.209874,3.618077
470.0000,88.401387,0.211219,3.598778
475.0000,88.409815,0.212519,3.579784
480.0000,88.418112,0.213776,3.561088
485.0000,88.426280,0.214991,3.542682
490.0000,88.434322,0.216170,3.524559
495.0000,88.442243,0.217315,3.506711
500.0000,88.450044,0.218429,3.489131
505.0000,88.457730,0.219517,3.471813
510.0000,88.465302,0.220583,3.454750
515.0000,88.472764,0.221622,3.437936
520.0000,88.480118,0.222631,3.421366
525.0000,88.487367,0.223606,3.405033
530.0000,88.494513,0.224550,3.388931
535.0000,88.501559,0.225464,3.373056
540.0000,88.508507,0.226354,3.357402
545.0000,88.515359,0.227219,3.341964
550.0000,88.522117,0.228059,3.326737
555.0000,88.528784,0.228882,3.311716
560.0000,88.535362,0.229688,3.296896
565.0000,88.541852,0.230484,3.282274
570.0000,88.548256,0.231269,3.267845
575.0000,88.554577,0.232033,3.253604
580.0000,88.560816,0.232770,3.239548
585.0000,88.566975,0.233481,3.225673
590.0000,88.573056,0.234169,3.211974
595.0000,88.579060,0.234835,3.198449
600.0000,88.584988,0.235482,3.185093
605.0000,88.590844,0.236114,3.171902
610.0000,88.596627,0.236732,3.158875
615.0000,88.602339,0.237334,3.146006
620.0000,88.607982,0.237927,3.133294
625.0000,88.613557,0.238515,3.120734
630.0000,88.619066,0.239093,3.108324
635.0000,88.624510,0.239672,3.096061
640.0000,88.629890,0.240275,3.083943
645.0000,88.635207,0.240903,3.071965
650.0000,88.640463,0.241552,3.060126
655.0000,88.645659,0.242309,3.048422
660.0000,88.650795,0.243029,3.036852
665.0000,88.655874,0.243715,3.025413
670.0000,88.660895,0.244364,3.014102
675.0000,88.665861,0.244904,3.002917
680.0000,88.670772,0.245409,2.991855
685.0000,88.675629,0.245885,2.980915
690.0000,88.680433,0.246330,2.970094
695.0000,88.685185,0.246737,2.959390
700.0000,88.689886,0.247119,2.948801
705.0000,88.694537,0.247478,2.938324
710.0000,88.699139,0.247810,2.927959
715.0000,88.703693,0.248117,2.917702
720.0000,88.708199,0.248396,2.907553
725.0000,88.712659,0.248652,2.897509
730.0000,88.717073,0.248888,2.887568
735.0000,88.721441,0.249104,2.877729
740.0000,88.725765,0.249308,2.867989
745.0000,88.730046,0.249499,2.858348
750.0000,88.734284,0.249678,2.848804
755.0000,88.738479,0.249845,2.839354
760.0000,88.742634,0.250001,2.829998
765.0000,88.746747,0.250147,2.820733
770.0000,88.750820,0.250281,2.811560
775.0000,88.754854,0.250406,2.802475
780.0000,88.758849,0.250526,2.793477
785.0000,88.762806,0.250653,2.784566
790.0000,88.766725,0.250782,2.775739
795.0000,88.770608,0.250928,2.766996
800.0000,88.774453,0.251082,2.758335
805.0000,88.778263,0.251252,2.749755
810.0000,88.782038,0.251400,2.741254
815.0000,88.785778,0.251532,2.732832
820.0000,88.789483,0.251628,2.724486
825.0000,88.793155,0.251710,2.716217
