PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,85.117790,0.037077,11.039870
52.0000,85.211793,0.038556,10.825220
54.0000,85.300568,0.040147,10.622622
56.0000,85.384582,0.041703,10.430990
58.0000,85.464245,0.043542,10.249368
60.0000,85.539922,0.045788,10.076914
62.0000,85.611933,0.048168,9.912883
64.0000,85.680565,0.051028,9.756609
66.0000,85.746075,0.053754,9.607501
68.0000,85.808692,0.056302,9.465026
70.0000,85.868623,0.058586,9.328708
72.0000,85.926054,0.060638,9.198115
74.0000,85.981156,0.062702,9.072857
76.0000,86.034080,0.064772,8.952581
78.0000,86.084967,0.067046,8.836965
80.0000,86.133945,0.069379,8.725715
82.0000,86.181129,0.071508,8.618564
84.0000,86.226627,0.073121,8.515266
86.0000,86.270536,0.076074,8.415595
88.0000,86.312948,0.079176,8.319345
90.0000,86.353945,0.082144,8.226322
92.0000,86.393604,0.085023,8.136353
94.0000,86.431996,0.087875,8.049272
96.0000,86.469188,0.090452,7.964928
98.0000,86.505241,0.092900,7.883181
100.0000,86.540211,0.095357,7.803901
102.0000,86.574153,0.097866,7.726966
104.0000,86.607114,0.100387,7.652262
106.0000,86.639142,0.102855,7.579683
108.0000,86.670280,0.105214,7.509132
110.0000,86.700568,0.107422,7.440514
112.0000,86.730045,0.109610,7.373744
114.0000,86.758745,0.111795,7.308740
116.0000,86.786703,0.113963,7.245425
118.0000,86.813949,0.116079,7.183728
120.0000,86.840514,0.118168,7.123580
122.0000,86.866425,0.120244,7.064918
124.0000,86.891709,0.122305,7.007682
126.0000,86.916391,0.124357,6.951815
128.0000,86.940494,0.126513,6.897263
130.0000,86.964041,0.128745,6.843976
132.0000,86.987052,0.130888,6.791905
134.0000,87.009548,0.132819,6.741004
136.0000,87.031547,0.134439,6.691231
138.0000,87.053068,0.135964,6.642545
140.0000,87.074127,0.137468,6.594906
142.0000,87.094741,0.138921,6.548277
144.0000,87.114926,0.140230,6.502624
146.0000,87.134696,0.141251,6.457913
148.0000,87.154064,0.142120,6.414111
150.0000,87.173046,0.142936,6.371189
152.0000,87.191652,0.143699,6.329117
154.0000,87.209896,0.144374,6.287867
156.0000,87.227789,0.144888,6.247414
158.0000,87.245342,0.145191,6.207732
160.0000,87.262565,0.145054,6.168796
162.0000,87.279470,0.144835,6.130584
164.0000,87.296065,0.144540,6.093073
166.0000,87.312361,0.144141,6.056243
168.0000,87.328365,0.143603,6.020072
170.0000,87.344086,0.142650,5.984542
172.0000,87.359534,0.141420,5.949633
174.0000,87.374714,0.140032,5.915329
176.0000,87.389636,0.138637,5.881611
178.0000,87.404307,0.137241,5.848463
180.0000,87.418733,0.135832,5.815869
182.0000,87.432921,0.134410,5.783815
184.0000,87.446877,0.133001,5.752284
186.0000,87.460608,0.131607,5.721264
188.0000,87.474121,0.130257,5.690740
190.0000,87.487419,0.128975,5.660699
192.0000,87.500510,0.127744,5.631130
194.0000,87.513399,0.126603,5.602018
196.0000,87.526090,0.125556,5.573354
198.0000,87.538588,0.124602,5.545126
200.0000,87.550899,0.123852,5.517321
202.0000,87.563028,0.123193,5.489931
204.0000,87.574977,0.122626,5.462945
206.0000,87.586753,0.122170,5.436353
208.0000,87.598359,0.121810,5.410146
210.0000,87.609799,0.121566,5.384314
212.0000,87.621077,0.121603,5.358849
214.0000,87.632197,0.121797,5.333741
216.0000,87.643162,0.122086,5.308983
218.0000,87.653977,0.122387,5.284567
220.0000,87.664644,0.122655,5.260484
222.0000,87.675167,0.122918,5.236728
224.0000,87.685548,0.123205,5.213291
226.0000,87.695792,0.123530,5.190165
228.0000,87.705901,0.123889,5.167345
230.0000,87.715879,0.124345,5.144823
232.0000,87.725727,0.124863,5.122593
234.0000,87.735449,0.125435,5.100649
236.0000,87.745047,0.126041,5.078984
238.0000,87.754524,0.126626,5.057593
240.0000,87.763883,0.127204,5.036470
242.0000,87.773125,0.127774,5.015610
244.0000,87.782255,0.128355,4.995006
246.0000,87.791272,0.128954,4.974655
248.0000,87.800181,0.129573,4.954550
250.0000,87.808982,0.130289,4.934687
252.0000,87.817679,0.131006,4.915061
254.0000,87.826273,0.131714,4.895667
256.0000,87.834766,0.132407,4.876501
258.0000,87.843161,0.133058,4.857559
