PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.000000,0.029584,9.015622
60.0000,4.000000,0.041854,8.389646
70.0000,4.000000,0.052909,7.912490
80.0000,4.000000,0.073578,7.534953
90.0000,4.000000,0.093884,7.227775
100.0000,4.000000,0.112881,6.972349
110.0000,4.000000,0.130427,6.756222
120.0000,4.000000,0.146829,6.570714
130.0000,4.000000,0.157920,6.409573
140.0000,4.000000,0.164172,6.268170
150.0000,4.000000,0.164809,6.142998
160.0000,4.000000,0.160426,6.031351
170.0000,4.000000,0.153283,5.931101
180.0000,4.000000,0.146811,5.840550
190.0000,4.000000,0.142643,5.758328
200.0000,4.000000,0.137963,5.683315
210.0000,4.000000,0.130042,5.614586
220.0000,4.000000,0.128997,5.551368
230.0000,4.000000,0.129145,5.493015
240.0000,4.000000,0.130432,5.438976
250.0000,4.000000,0.130805,5.388783
260.0000,4.000000,0.130178,5.342033
270.0000,4.000000,0.127727,5.298380
280.0000,4.000000,0.121801,5.257521
290.0000,4.000000,0.113620,5.219194
300.0000,4.000000,0.113244,5.183166
310.0000,4.000000,0.110541,5.149236
320.0000,4.000000,0.106882,5.117222
330.0000,4.000000,0.102550,5.086966
340.0000,4.000000,0.097726,5.058324
350.0000,4.000000,0.092534,5.031170
360.0000,4.000000,0.087091,5.005390
370.0000,4.000000,0.081507,4.980881
380.0000,4.000000,0.075949,4.957550
390.0000,4.000000,0.070673,4.935314
400.0000,4.000000,0.065744,4.914097
410.0000,4.000000,0.060891,4.893830
420.0000,4.000000,0.054435,4.874449
430.0000,4.000000,0.048031,4.855898
440.0000,4.000000,0.041794,4.838125
450.0000,4.000000,0.035832,4.821080
460.0000,4.000000,0.030190,4.804719
470.0000,4.000000,0.024922,4.789003
480.0000,4.000000,0.020087,4.773893
490.0000,4.000000,0.015758,4.759355
500.0000,4.000000,0.011981,4.745357
510.0000,4.000000,0.008788,4.731868
520.0000,4.000000,0.006193,4.718862
530.0000,4.000000,0.004242,4.706313
540.0000,4.000000,0.002967,4.694197
550.0000,4.000000,0.002353,4.682493
560.0000,4.000000,0.002378,4.671178
570.0000,4.000000,0.003020,4.660235
580.0000,4.000000,0.004272,4.649644
590.0000,4.000000,0.006133,4.639390
600.0000,4.000000,0.008609,4.629455
610.0000,4.000000,0.011821,4.619827
620.0000,4.000000,0.014773,4.610489
630.0000,4.000000,0.018231,4.601431
640.0000,4.000000,0.022054,4.592638
650.0000,4.000000,0.026150,4.584100
660.0000,4.000000,0.030399,4.575805
670.0000,4.000000,0.034698,4.567743
680.0000,4.000000,0.038961,4.559905
690.0000,4.000000,0.043119,4.552282
700.0000,4.000000,0.047094,4.544864
710.0000,4.000000,0.050811,4.537643
720.0000,4.000000,0.054281,4.530612
730.0000,4.000000,0.057495,4.523763
740.0000,4.000000,0.060417,4.517089
750.0000,4.000000,0.063009,4.510584
760.0000,4.000000,0.065270,4.504241
770.0000,4.000000,0.067228,4.498054
780.0000,4.000000,0.068872,4.492017
790.0000,4.000000,0.070007,4.486126
800.0000,4.000000,0.070448,4.480374
810.0000,4.000000,0.070057,4.474757
820.0000,4.000000,0.070455,4.469271
830.0000,4.000000,0.070690,4.463910
840.0000,4.000000,0.070212,4.458671
850.0000,4.000000,0.069191,4.453549
860.0000,4.000000,0.067695,4.448540
870.0000,4.000000,0.065764,4.443641
880.0000,4.000000,0.063450,4.438849
890.0000,4.000000,0.060793,4.434159
900.0000,4.000000,0.057848,4.429568
910.0000,4.000000,0.054668,4.425074
920.0000,4.000000,0.051307,4.420673
930.0000,4.000000,0.047809,4.416362
940.0000,4.000000,0.044213,4.412139
950.0000,4.000000,0.040561,4.408001
960.0000,4.000000,0.036894,4.403945
970.0000,4.000000,0.033256,4.399970
980.0000,4.000000,0.029683,4.396072
990.0000,4.000000,0.026209,4.392250
1000.0000,4.000000,0.022855,4.388500
