PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,86.000000,0.036551,10.677247
100.0000,86.000000,0.137097,8.058583
150.0000,86.000000,0.187102,6.972349
200.0000,86.000000,0.137904,6.360438
250.0000,86.000000,0.128692,5.963364
300.0000,86.000000,0.112006,5.683315
350.0000,86.000000,0.078768,5.474547
400.0000,86.000000,0.049138,5.312606
450.0000,86.000000,0.020909,5.183166
500.0000,86.000000,0.004304,5.077246
550.0000,86.000000,0.002844,4.988915
600.0000,86.000000,0.014647,4.914097
650.0000,86.000000,0.032093,4.849890
700.0000,86.000000,0.049789,4.794173
750.0000,86.000000,0.061586,4.745357
800.0000,86.000000,0.064000,4.702228
850.0000,86.000000,0.055355,4.663842
900.0000,86.000000,0.041247,4.629455
950.0000,86.000000,0.027584,4.598471
1000.0000,86.000000,0.013965,4.570405
1050.0000,86.000000,0.004800,4.544864
1100.0000,86.000000,0.001083,4.521519
1150.0000,86.000000,0.002151,4.500099
1200.0000,86.000000,0.005558,4.480374
1250.0000,86.000000,0.008303,4.462150
1300.0000,86.000000,0.008695,4.445262
1350.0000,86.000000,0.007527,4.429568
1400.0000,86.000000,0.006214,4.414945
1450.0000,86.000000,0.004981,4.401286
1500.0000,86.000000,0.003464,4.388500
1550.0000,86.000000,0.002021,4.376505
1600.0000,86.000000,0.000967,4.365230
1650.0000,86.000000,0.000228,4.354612
1700.0000,86.000000,0.000136,4.344595
1750.0000,86.000000,0.000428,4.335129
1800.0000,86.000000,0.000431,4.326169
1850.0000,86.000000,0.000464,4.317677
1900.0000,86.000000,0.000801,4.309617
1950.0000,86.000000,0.000845,4.301956
2000.0000,86.000000,0.000710,4.294665
