PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,86.000000,0.033477,9.015622
60.0000,86.000000,0.046846,8.389646
70.0000,86.000000,0.061979,7.912490
80.0000,86.000000,0.079557,7.534953
90.0000,86.000000,0.099214,7.227775
100.0000,86.000000,0.120198,6.972349
110.0000,86.000000,0.141908,6.756222
120.0000,86.000000,0.161539,6.570714
130.0000,86.000000,0.174992,6.409573
140.0000,86.000000,0.182208,6.268170
150.0000,86.000000,0.180445,6.142998
160.0000,86.000000,0.176296,6.031351
170.0000,86.000000,0.164412,5.931101
180.0000,86.000000,0.153254,5.840550
190.0000,86.000000,0.147691,5.758328
200.0000,86.000000,0.143060,5.683315
210.0000,86.000000,0.138086,5.614586
220.0000,86.000000,0.133755,5.551368
230.0000,86.000000,0.131149,5.493015
240.0000,86.000000,0.131550,5.438976
250.0000,86.000000,0.131532,5.388783
260.0000,86.000000,0.129800,5.342033
270.0000,86.000000,0.128481,5.298380
280.0000,86.000000,0.121167,5.257521
290.0000,86.000000,0.113736,5.219194
300.0000,86.000000,0.112240,5.183166
310.0000,86.000000,0.108811,5.149236
320.0000,86.000000,0.105825,5.117222
330.0000,86.000000,0.102527,5.086966
340.0000,86.000000,0.097882,5.058324
350.0000,86.000000,0.092609,5.031170
360.0000,86.000000,0.087845,5.005390
370.0000,86.000000,0.082024,4.980881
380.0000,86.000000,0.076252,4.957550
390.0000,86.000000,0.070343,4.935314
400.0000,86.000000,0.064488,4.914097
410.0000,86.000000,0.059122,4.893830
420.0000,86.000000,0.052355,4.874449
430.0000,86.000000,0.045789,4.855898
440.0000,86.000000,0.039637,4.838125
450.0000,86.000000,0.033773,4.821080
460.0000,86.000000,0.028191,4.804719
470.0000,86.000000,0.023100,4.789003
480.0000,86.000000,0.018481,4.773893
490.0000,86.000000,0.014182,4.759355
500.0000,86.000000,0.010406,4.745357
510.0000,86.000000,0.007203,4.731868
520.0000,86.000000,0.004721,4.718862
530.0000,86.000000,0.003089,4.706313
540.0000,86.000000,0.001924,4.694197
550.0000,86.000000,0.001331,4.682493
560.0000,86.000000,0.001390,4.671178
570.0000,86.000000,0.002059,4.660235
580.0000,86.000000,0.003349,4.649644
590.0000,86.000000,0.005258,4.639390
600.0000,86.000000,0.007765,4.629455
610.0000,86.000000,0.011033,4.619827
620.0000,86.000000,0.014595,4.610489
630.0000,86.000000,0.018379,4.601431
640.0000,86.000000,0.022553,4.592638
650.0000,86.000000,0.027029,4.584100
660.0000,86.000000,0.031453,4.575805
670.0000,86.000000,0.036035,4.567743
680.0000,86.000000,0.040661,4.559905
690.0000,86.000000,0.045149,4.552282
700.0000,86.000000,0.049348,4.544864
