PhotonEnergy_eV,DiffractionEfficiency
2000.0,45.54
2100.0,47.95
2200.0,50.22
2300.0,52.37
2400.0,54.31
2500.0,55.24
2600.0,57.72
2700.0,59.33
2800.0,57.89
2900.0,61.49
3000.0,62.98
3100.0,64.0
3200.0,58.39
3300.0,64.91
3400.0,66.29
3500.0,67.04
3600.0,67.45
3700.0,65.18
3800.0,66.13
3900.0,68.04
4000.0,68.35
4100.0,68.21
4200.0,67.8
4300.0,67.14
4400.0,65.51
4500.0,60.35
4600.0,63.05
4700.0,61.42
4800.0,58.53
4900.0,55.57
5000.0,51.61
5100.0,46.83
5200.0,41.05
5300.0,34.85
5400.0,29.47
5500.0,21.64
5600.0,16.09
5700.0,3.87
5800.0,1.86
5900.0,3.61
6000.0,1.33
