PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,85.117790,0.037477,11.039870
70.0000,85.868623,0.059154,9.328708
90.0000,86.353945,0.082863,8.226322
110.0000,86.700568,0.108261,7.440514
130.0000,86.964041,0.129700,6.843976
150.0000,87.173046,0.144040,6.371189
170.0000,87.344086,0.143972,5.984542
190.0000,87.487419,0.130525,5.660699
210.0000,87.609799,0.123200,5.384314
230.0000,87.715879,0.125952,5.144823
250.0000,87.808982,0.131789,4.934687
270.0000,87.891557,0.137778,4.748360
290.0000,87.965448,0.134980,4.581662
310.0000,88.032078,0.151201,4.431372
330.0000,88.092563,0.162821,4.294962
350.0000,88.147793,0.173451,4.170421
370.0000,88.198488,0.183551,4.056122
390.0000,88.245236,0.192434,3.950733
410.0000,88.288523,0.201171,3.853154
430.0000,88.328758,0.208761,3.762465
450.0000,88.366282,0.215589,3.677892
470.0000,88.401387,0.221840,3.598778
490.0000,88.434322,0.227236,3.524559
510.0000,88.465302,0.232043,3.454750
530.0000,88.494513,0.236341,3.388931
550.0000,88.522117,0.240134,3.326737
570.0000,88.548256,0.243573,3.267845
590.0000,88.573056,0.246652,3.211974
610.0000,88.596627,0.249359,3.158875
630.0000,88.619066,0.251821,3.108324
650.0000,88.640463,0.254314,3.060126
670.0000,88.660895,0.257058,3.014102
690.0000,88.680433,0.258970,2.970094
710.0000,88.699139,0.260424,2.927959
730.0000,88.717073,0.261506,2.887568
750.0000,88.734284,0.262284,2.848804
770.0000,88.750820,0.262854,2.811560
790.0000,88.766725,0.263298,2.775739
810.0000,88.782038,0.263815,2.741254
830.0000,88.796794,0.264085,2.708023
850.0000,88.811026,0.264138,2.675972
870.0000,88.824765,0.264149,2.645032
890.0000,88.838039,0.264464,2.615142
910.0000,88.850872,0.264491,2.586242
930.0000,88.863290,0.264230,2.558280
950.0000,88.875313,0.263827,2.531206
970.0000,88.886963,0.263433,2.504973
990.0000,88.898258,0.262894,2.479540
