PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,85.117790,0.031103,11.039870
150.0000,87.173046,0.122537,6.371189
250.0000,87.808982,0.127247,4.934687
350.0000,88.147793,0.169843,4.170421
450.0000,88.366282,0.209292,3.677892
550.0000,88.522117,0.235777,3.326737
650.0000,88.640463,0.253421,3.060126
750.0000,88.734284,0.260080,2.848804
850.0000,88.811026,0.265094,2.675972
950.0000,88.875313,0.263147,2.531206
1050.0000,88.930186,0.257828,2.407650
1150.0000,88.977739,0.249923,2.300583
1250.0000,89.019467,0.240493,2.206637
1350.0000,89.056470,0.230861,2.123333
1450.0000,89.089576,0.220683,2.048804
1550.0000,89.119426,0.208892,1.981609
1650.0000,89.146520,0.193645,1.920619
1750.0000,89.171257,0.174841,1.864935
1850.0000,89.193962,0.153962,1.813829
1950.0000,89.214897,0.134711,1.766707
