PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.000000,0.001515,86.854092
150.0000,4.000000,0.000001,86.284787
250.0000,4.000000,0.000000,86.170883
350.0000,4.000000,0.000000,86.122063
450.0000,4.000000,0.000000,86.094940
550.0000,4.000000,0.000000,86.077679
650.0000,4.000000,0.000000,86.065729
750.0000,4.000000,0.000000,86.056965
850.0000,4.000000,0.000000,86.050263
950.0000,4.000000,0.000000,86.044973
1050.0000,4.000000,0.000000,86.040690
1150.0000,4.000000,0.000000,86.037152
1250.0000,4.000000,0.000000,86.034179
1350.0000,4.000000,0.000000,86.031648
1450.0000,4.000000,0.000000,86.029465
1550.0000,4.000000,0.000000,86.027564
1650.0000,4.000000,0.000000,86.025894
1750.0000,4.000000,0.000000,86.024414
1850.0000,4.000000,0.000000,86.023094
1950.0000,4.000000,0.000000,86.021910
