PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,86.007881,0.030661,9.012117
60.0000,86.353945,0.040052,8.226322
70.0000,86.623242,0.049410,7.615713
80.0000,86.840514,0.059842,7.123580
90.0000,87.020608,0.070860,6.715979
100.0000,87.173046,0.081853,6.371189
110.0000,87.304250,0.092248,6.074574
120.0000,87.418733,0.100111,5.815869
130.0000,87.519768,0.105102,5.587631
140.0000,87.609799,0.108301,5.384314
150.0000,87.690687,0.108665,5.201689
160.0000,87.763883,0.108619,5.036470
170.0000,87.830532,0.105894,4.886056
180.0000,87.891557,0.103852,4.748360
190.0000,87.947705,0.104587,4.621686
200.0000,87.999594,0.106466,4.504638
210.0000,88.047737,0.109336,4.396054
220.0000,88.092563,0.110620,4.294962
230.0000,88.134436,0.112782,4.200539
240.0000,88.173668,0.116650,4.112081
250.0000,88.210524,0.120578,4.028986
260.0000,88.245236,0.123849,3.950733
270.0000,88.278002,0.127608,3.876869
280.0000,88.309000,0.128014,3.806999
290.0000,88.338381,0.125863,3.740776
300.0000,88.366282,0.130750,3.677892
310.0000,88.392823,0.134502,3.618077
320.0000,88.418112,0.138744,3.561088
330.0000,88.442243,0.143070,3.506711
340.0000,88.465302,0.146736,3.454750
350.0000,88.487367,0.150068,3.405033
360.0000,88.508507,0.154026,3.357402
370.0000,88.528784,0.157277,3.311716
380.0000,88.548256,0.160635,3.267845
390.0000,88.566975,0.163903,3.225673
400.0000,88.584988,0.167084,3.185093
410.0000,88.602339,0.169966,3.146006
420.0000,88.619066,0.172042,3.108324
430.0000,88.635207,0.174039,3.071965
440.0000,88.650795,0.176202,3.036852
450.0000,88.665861,0.178288,3.002917
460.0000,88.680433,0.180109,2.970094
470.0000,88.694537,0.182017,2.938324
480.0000,88.708199,0.183990,2.907553
490.0000,88.721441,0.185187,2.877729
500.0000,88.734284,0.185819,2.848804
510.0000,88.746747,0.185676,2.820733
520.0000,88.758849,0.185443,2.793477
530.0000,88.770608,0.188838,2.766996
540.0000,88.782038,0.191079,2.741254
550.0000,88.793155,0.192154,2.716217
560.0000,88.803974,0.193888,2.691854
570.0000,88.814506,0.194281,2.668135
580.0000,88.824765,0.194711,2.645032
590.0000,88.834762,0.195165,2.622519
600.0000,88.844509,0.195243,2.600572
610.0000,88.854015,0.195019,2.579166
620.0000,88.863290,0.195632,2.558280
630.0000,88.872343,0.196065,2.537894
640.0000,88.881184,0.196531,2.517987
650.0000,88.889819,0.196949,2.498542
660.0000,88.898258,0.196777,2.479540
670.0000,88.906508,0.196683,2.460965
680.0000,88.914574,0.196568,2.442802
690.0000,88.922465,0.196269,2.425035
700.0000,88.930186,0.195746,2.407650
710.0000,88.937744,0.195223,2.390633
720.0000,88.945143,0.194383,2.373972
730.0000,88.952390,0.193853,2.357655
740.0000,88.959490,0.193557,2.341670
750.0000,88.966448,0.193366,2.326006
760.0000,88.973267,0.193113,2.310652
770.0000,88.979953,0.192822,2.295598
780.0000,88.986511,0.192510,2.280834
790.0000,88.992943,0.192004,2.266351
800.0000,88.999255,0.191406,2.252141
810.0000,89.005449,0.190751,2.238195
820.0000,89.011530,0.190044,2.224505
830.0000,89.017501,0.189289,2.211063
840.0000,89.023365,0.188498,2.197862
850.0000,89.029125,0.187679,2.184895
860.0000,89.034784,0.186804,2.172154
870.0000,89.040345,0.185878,2.159634
880.0000,89.045812,0.184902,2.147328
890.0000,89.051186,0.183881,2.135229
900.0000,89.056470,0.182816,2.123333
910.0000,89.061667,0.181710,2.111634
920.0000,89.066779,0.180572,2.100126
930.0000,89.071808,0.179415,2.088804
940.0000,89.076757,0.178220,2.077663
950.0000,89.081627,0.176974,2.066698
960.0000,89.086422,0.175681,2.055906
970.0000,89.091142,0.174343,2.045280
980.0000,89.095789,0.172965,2.034818
990.0000,89.100366,0.171550,2.024514
1000.0000,89.104874,0.170101,2.014366
