PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,86.007881,0.028462,9.012117
60.0000,86.353945,0.037830,8.226322
70.0000,86.623242,0.044895,7.615713
80.0000,86.840514,0.059050,7.123580
90.0000,87.020608,0.071555,6.715979
100.0000,87.173046,0.082106,6.371189
110.0000,87.304250,0.091325,6.074574
120.0000,87.418733,0.099538,5.815869
130.0000,87.519768,0.104424,5.587631
140.0000,87.609799,0.106942,5.384314
150.0000,87.690687,0.107196,5.201689
160.0000,87.763883,0.105713,5.036470
170.0000,87.830532,0.103577,4.886056
180.0000,87.891557,0.102828,4.748360
190.0000,87.947705,0.103681,4.621686
200.0000,87.999594,0.105463,4.504638
210.0000,88.047737,0.107162,4.396054
220.0000,88.092563,0.109949,4.294962
230.0000,88.134436,0.113609,4.200539
240.0000,88.173668,0.118241,4.112081
250.0000,88.210524,0.122723,4.028986
260.0000,88.245236,0.127064,3.950733
270.0000,88.278002,0.130937,3.876869
280.0000,88.309000,0.134349,3.806999
290.0000,88.338381,0.137517,3.740776
300.0000,88.366282,0.140568,3.677892
310.0000,88.392823,0.143483,3.618077
320.0000,88.418112,0.146334,3.561088
330.0000,88.442243,0.149107,3.506711
340.0000,88.465302,0.151825,3.454750
350.0000,88.487367,0.154501,3.405033
360.0000,88.508507,0.157156,3.357402
370.0000,88.528784,0.159825,3.311716
380.0000,88.548256,0.162594,3.267845
390.0000,88.566975,0.165708,3.225673
400.0000,88.584988,0.169168,3.185093
410.0000,88.602339,0.172103,3.146006
420.0000,88.619066,0.174607,3.108324
430.0000,88.635207,0.176807,3.071965
440.0000,88.650795,0.178796,3.036852
450.0000,88.665861,0.180655,3.002917
460.0000,88.680433,0.182346,2.970094
470.0000,88.694537,0.183829,2.938324
480.0000,88.708199,0.185067,2.907553
490.0000,88.721441,0.186098,2.877729
500.0000,88.734284,0.186912,2.848804
510.0000,88.746747,0.187432,2.820733
520.0000,88.758849,0.187399,2.793477
530.0000,88.770608,0.186891,2.766996
540.0000,88.782038,0.186474,2.741254
550.0000,88.793155,0.186768,2.716217
560.0000,88.803974,0.187931,2.691854
570.0000,88.814506,0.189238,2.668135
580.0000,88.824765,0.190263,2.645032
590.0000,88.834762,0.191050,2.622519
600.0000,88.844509,0.191629,2.600572
610.0000,88.854015,0.192058,2.579166
620.0000,88.863290,0.192386,2.558280
630.0000,88.872343,0.192669,2.537894
640.0000,88.881184,0.192941,2.517987
650.0000,88.889819,0.193164,2.498542
660.0000,88.898258,0.193232,2.479540
670.0000,88.906508,0.193113,2.460965
680.0000,88.914574,0.192819,2.442802
690.0000,88.922465,0.192390,2.425035
700.0000,88.930186,0.191833,2.407650
710.0000,88.937744,0.191127,2.390633
720.0000,88.945143,0.190364,2.373972
