PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,86.000000,0.034987,10.677247
150.0000,86.000000,0.181430,6.972349
250.0000,86.000000,0.130656,5.963364
350.0000,86.000000,0.073829,5.474547
450.0000,86.000000,0.021968,5.183166
550.0000,86.000000,0.003900,4.988915
650.0000,86.000000,0.028007,4.849890
750.0000,86.000000,0.056179,4.745357
850.0000,86.000000,0.053758,4.663842
950.0000,86.000000,0.028568,4.598471
1050.0000,86.000000,0.005426,4.544864
1150.0000,86.000000,0.003471,4.500099
1250.0000,86.000000,0.007123,4.462150
1350.0000,86.000000,0.005458,4.429568
1450.0000,86.000000,0.004184,4.401286
1550.0000,86.000000,0.001888,4.376505
1650.0000,86.000000,0.000227,4.354612
1750.0000,86.000000,0.000285,4.335129
1850.0000,86.000000,0.000334,4.317677
1950.0000,86.000000,0.000646,4.301956
