PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,4.000000,0.000953,86.854092
100.0000,4.000000,0.000823,86.427145
150.0000,4.000000,0.000020,86.284787
200.0000,4.000000,0.000006,86.213599
250.0000,4.000000,0.000000,86.170883
300.0000,4.000000,0.000004,86.142405
350.0000,4.000000,0.000008,86.122063
400.0000,4.000000,0.000009,86.106806
450.0000,4.000000,0.000001,86.094940
500.0000,4.000000,0.000000,86.085446
550.0000,4.000000,0.000004,86.077679
600.0000,4.000000,0.000001,86.071206
650.0000,4.000000,0.000001,86.065729
700.0000,4.000000,0.000000,86.061034
750.0000,4.000000,0.000000,86.056965
800.0000,4.000000,0.000001,86.053405
850.0000,4.000000,0.000002,86.050263
900.0000,4.000000,0.000000,86.047471
950.0000,4.000000,0.000000,86.044973
1000.0000,4.000000,0.000000,86.042724
1050.0000,4.000000,0.000000,86.040690
1100.0000,4.000000,0.000000,86.038840
1150.0000,4.000000,0.000000,86.037152
1200.0000,4.000000,0.000000,86.035604
1250.0000,4.000000,0.000000,86.034179
1300.0000,4.000000,0.000000,86.032865
1350.0000,4.000000,0.000000,86.031648
1400.0000,4.000000,0.000000,86.030517
1450.0000,4.000000,0.000000,86.029465
1500.0000,4.000000,0.000000,86.028483
1550.0000,4.000000,0.000000,86.027564
1600.0000,4.000000,0.000000,86.026703
1650.0000,4.000000,0.000000,86.025894
1700.0000,4.000000,0.000000,86.025132
1750.0000,4.000000,0.000000,86.024414
1800.0000,4.000000,0.000000,86.023736
1850.0000,4.000000,0.000000,86.023094
1900.0000,4.000000,0.000000,86.022487
1950.0000,4.000000,0.000000,86.021910
2000.0000,4.000000,0.000000,86.021362
